Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,858,71.53729603729603,22.91227515998303,0.7822121766408945
Controls,exclusion,435,70.75402298850575,22.028818601678243,1.0562010094583294
Controls,inclusion,402,70.5223880597015,21.765944853835453,1.0855866600452375
Risk of Depression,baseline,360,53.05833333333333,17.869830709387617,0.9418227740547888
Risk of Depression,exclusion,165,44.07272727272727,16.82715707056915,1.3099924012678188
Risk of Depression,inclusion,180,54.94444444444444,13.781098796800482,1.0271824571428811
