inclusion_exclusion,subject_id,valence
,43,83.0
,43,51.0
,43,63.0
,43,90.0
,43,93.0
,43,96.0
,43,50.0
,43,79.0
,43,50.0
,43,97.0
,43,52.0
,43,80.0
,43,39.0
,43,72.0
,43,82.0
,43,74.0
,43,51.0
,43,98.0
,43,97.0
,43,96.0
,43,91.0
,43,87.0
,43,76.0
,43,89.0
,43,85.0
,43,88.0
,43,90.0
,43,47.0
,43,45.0
,43,49.0
