Marker,Group,Inclusion_Exclusion,N,Mean_Raw,SD_Raw,SE_Raw,Mean_Normalized,SD_Normalized,SE_Normalized
omission_rate,Controls,exclusion,450,0.03154900169052176,1.0646723730027725,0.05018913697948225,-0.04638416411830246,1.0831992728194084,0.05106250341246272
omission_rate,Controls,inclusion,402,-0.03531604666849451,0.8822112505794809,0.044000697943611125,0.05192257177421919,0.8976654085672281,0.04477148128733414
omission_rate,Risk of Depression,exclusion,165,0.04718194894997506,1.0463844076899302,0.08146091565736913,-0.09739534346118585,1.0827193256528789,0.08428958518440423
omission_rate,Risk of Depression,inclusion,180,-0.043250119870810594,0.8675691671211012,0.06466478776218859,0.08927906483942039,0.9146418915070267,0.06817338148262331
commission_rate,Controls,exclusion,450,0.011668935110132452,0.9921709439562946,0.04677138683785026,0.08479714249819566,0.9849556988154772,0.046431256920050575
commission_rate,Controls,inclusion,402,-0.013062240794924313,1.0110031897813205,0.05042425603207321,-0.0949221744382787,1.0106049912794424,0.050404395695910834
commission_rate,Risk of Depression,exclusion,165,-0.006503129621054645,0.915835303232328,0.07129768165922155,-0.04171481044548407,0.9153591516379909,0.07126061330787632
commission_rate,Risk of Depression,inclusion,180,0.005961202152633422,1.0764905735476074,0.08023686998633957,0.03823857624169372,1.075467874264671,0.08016064248243336
rtcv,Controls,exclusion,450,-0.05348246272853564,0.9529654540906614,0.04492322232160161,-0.06019705173837238,0.9541399934735377,0.044978590639095116
rtcv,Controls,inclusion,402,0.059868428427465176,1.049302932708575,0.05233447358909614,0.0673847594086258,1.0472407087325255,0.05223161920563342
rtcv,Risk of Depression,exclusion,165,0.030123290124836995,0.9586514909710999,0.07463091735398711,0.06883875731450291,0.9658990672138008,0.07519514039925439
rtcv,Risk of Depression,inclusion,180,-0.027613015947767616,1.0410430712935175,0.0775947691639155,-0.06310219420496102,1.0316114130326408,0.0768917748635199
total_errors,Controls,exclusion,450,-0.0012458284169565973,0.9871228209111511,0.04653341603535126,0.06266361631164337,0.9852833672708442,0.04644670335916864
total_errors,Controls,inclusion,402,0.0013945840488320176,1.0166785839701848,0.05070731896654737,-0.07014583915482465,1.0140819561785388,0.050577810943319194
total_errors,Risk of Depression,exclusion,165,0.005161650886174042,0.925621166151982,0.07205951005428755,-0.03818040109663194,0.9237583731540936,0.0719144918160828
total_errors,Risk of Depression,inclusion,180,-0.004731513312326171,1.0688074834765702,0.07966420626380313,0.03499870100524598,1.0691011875851235,0.07968609767553635
