predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-2.171428571428567,2.455180968197797,-0.8844270950106313,0.376465701891599,-6.983494844624429,2.6406377017672953,False,False
group_bdi3[T.Controls High BDI],-1.5040816326530486,3.5336089808278306,-0.4256502744966089,0.6703627007379283,-8.429827970522883,5.421664705216786,False,False
group_bdi3[T.Risk of Depression],-6.6179902014470855,3.7331405472046066,-1.772767491007717,0.07626724234300054,-13.934811223194263,0.6988308203000928,False,False
inclusion_exclusion[T.inclusion],1.500043519631894,2.367978059745261,0.6334701934667686,0.5264266393651504,-3.1411081936498544,6.141195232913642,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],6.644059658041925,3.423220382718347,1.9408799069973812,0.052272845718460956,-0.06532900322945512,13.353448319313305,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],13.194930808799313,3.5899740410136673,3.67549476905788,0.00023738890515172644,6.158710982978806,20.23115063461982,True,True
probe_number,-0.4385714285714277,0.1828156200164962,-2.398982256176215,0.01644071134759629,-0.7968834596151201,-0.08025939752773537,True,False
group_bdi3[T.Controls High BDI]:probe_number,0.5122959183673453,0.26311661954600774,1.9470298731082887,0.05153115334227983,-0.0034031796767574063,1.027995016411448,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.5411688311688293,0.2810629699700784,1.9254362509100413,0.0541748040918418,-0.009704467360387103,1.0920421296980458,False,False
inclusion_exclusion[T.inclusion]:probe_number,0.3913404374281734,0.2615463142326507,1.4962567473998822,0.1345867617084844,-0.12128091875701769,0.9039617936133646,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.9294988405537381,0.3772226734966963,-2.4640587797591085,0.01373735809145099,-1.6688416947591749,-0.19015598634830133,True,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-1.1293545066922401,0.3946622040525156,-2.861572491856765,0.004215450890569155,-1.9028782126943686,-0.35583080069011175,True,True
subject_id Var,0.34890504639889947,0.08935161460569865,3.904854410729888,9.428212769393502e-05,0.17377909981122705,0.5240309929865719,True,True
