predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,79.3796960771553,4.366573436191019,18.17894448293043,7.577829738097147e-74,70.8213694063716,87.938022747939,True,True
group_bdi3[T.Controls High BDI],-8.667498579797286,6.28457981316972,-1.3791691469386727,0.16784260832418818,-20.9850486715774,3.650051511982827,False,False
group_bdi3[T.Risk of Depression],-24.810087653476568,6.5499990751461405,-3.7878001765859817,0.00015198700627616066,-37.647849939533664,-11.97232536741947,True,True
time_on_task,-0.18781643155899636,0.02534299874379301,-7.410979002829973,1.253704350074082e-13,-0.23748779635707448,-0.13814506676091823,True,True
group_bdi3[T.Controls High BDI]:time_on_task,0.06111471952387046,0.036887174625436836,1.6568013176516554,0.09755965054141297,-0.0111828142334255,0.1334122532811664,False,False
group_bdi3[T.Risk of Depression]:time_on_task,0.08920396042135886,0.038516008232331686,2.316022986683182,0.02055701364915929,0.013713971457740531,0.1646939493849772,True,False
subject_id Var,1.584801612277192,0.3705544048053888,4.276839221785834,1.8956560747723428e-05,0.858528324545954,2.31107490000843,True,True
