metric,type,value
auc,true,0.7068333333333333
auc,true,0.7075478927203065
auc,true,0.7274674329501917
auc,true,0.7364904214559388
auc,true,0.7410057471264367
auc,true,0.7415306513409962
auc,true,0.725691570881226
auc,true,0.7297969348659005
auc,true,0.7196130268199236
auc,true,0.7075038314176245
auc,true,0.7049367816091954
auc,true,0.7364348659003832
auc,true,0.7200689655172413
auc,true,0.7057490421455939
auc,true,0.7186034482758621
auc,true,0.7224674329501917
auc,true,0.7359022988505748
auc,true,0.7086091954022987
auc,true,0.7494770114942528
auc,true,0.7208582375478927
auc,true,0.7099233716475097
auc,true,0.7321206896551723
auc,true,0.7196685823754789
auc,true,0.7232011494252873
auc,true,0.694176245210728
auc,true,0.7201819923371647
auc,true,0.7175670498084291
auc,true,0.7269808429118773
auc,true,0.7192011494252873
auc,true,0.7150095785440613
auc,true,0.7100095785440613
auc,true,0.7294693486590037
auc,true,0.727243295019157
auc,true,0.744390804597701
auc,true,0.7173065134099615
auc,true,0.7290842911877394
auc,true,0.7023812260536398
auc,true,0.7282394636015326
auc,true,0.7103888888888888
auc,true,0.7206264367816092
auc,true,0.725155172413793
auc,true,0.7209099616858239
auc,true,0.7180842911877396
auc,true,0.7127222222222224
auc,true,0.6986417624521075
auc,true,0.7204923371647508
auc,true,0.729367816091954
auc,true,0.741911877394636
auc,true,0.7264463601532566
auc,true,0.7192758620689655
auc,true,0.73088122605364
auc,true,0.712477011494253
auc,true,0.7193793103448276
auc,true,0.7240249042145593
auc,true,0.7127318007662836
auc,true,0.71588122605364
auc,true,0.7365613026819924
auc,true,0.7214846743295017
auc,true,0.7001590038314177
auc,true,0.7111819923371647
auc,true,0.7328237547892719
auc,true,0.7181551724137931
auc,true,0.7178467432950191
auc,true,0.733567049808429
auc,true,0.7108908045977012
auc,true,0.7325229885057473
auc,true,0.7152088122605365
auc,true,0.7140593869731802
auc,true,0.7249980842911877
auc,true,0.7289540229885058
auc,true,0.7164118773946357
auc,true,0.7103314176245213
auc,true,0.7161360153256705
auc,true,0.7081206896551724
auc,true,0.7156704980842912
auc,true,0.6951934865900382
auc,true,0.7398659003831417
auc,true,0.7210613026819923
auc,true,0.7259942528735633
auc,true,0.7246379310344827
auc,true,0.7125632183908045
auc,true,0.7220823754789274
auc,true,0.7228084291187739
auc,true,0.7119827586206896
auc,true,0.709484674329502
auc,true,0.7468180076628353
auc,true,0.7398275862068966
auc,true,0.7048295019157088
auc,true,0.7333754789272031
auc,true,0.7073352490421457
auc,true,0.7316628352490423
auc,true,0.699639846743295
auc,true,0.7287222222222222
auc,true,0.7228524904214559
auc,true,0.7462586206896553
auc,true,0.7189291187739464
auc,true,0.7324693486590037
auc,true,0.7181858237547892
auc,true,0.7447509578544063
