predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.2613180501818099,0.013282560318918552,19.673771013078756,3.618430111473613e-86,0.23528471033424872,0.28735139002937116,,
onoff,-0.009278336670467133,0.004071821944825639,-2.278669547979079,0.02268671626053756,-0.017258961033785228,-0.00129771230714904,0.09074686504215024,False
valence,-0.0014293467954106175,0.0044059626623640475,-0.3244119174273012,0.7456261984209003,-0.010064874930872362,0.007206181340051127,0.7531512854951858,False
valence_sq,0.0035400689403657947,0.003096965395401317,1.1430766858494583,0.25300675315514287,-0.0025298716959876347,0.009610009576719224,0.38784038381043623,False
selfother,0.0010796490622977106,0.0034330496995335327,0.31448687225367244,0.7531512854951858,-0.0056490047059240675,0.007808302830519489,0.7531512854951858,False
time,0.004447061860003217,0.00388548942874664,1.1445306805113933,0.25240362166766617,-0.003168357482651306,0.01206248120265774,0.38784038381043623,False
time_sq,0.003437511953704856,0.0032546264379015232,1.0561924753248337,0.29088028785782716,-0.0029414386477140167,0.009816462555123728,0.38784038381043623,False
confidence,-0.005960259833277675,0.003303922295314198,-1.8039951610638179,0.07123206553722815,-0.012435828539812411,0.0005153088732570612,0.18995217476594173,False
time_on_task,0.013316367481259443,0.0023426237041666723,5.684381771419152,1.312867073909333e-08,0.008724909391762951,0.017907825570755934,1.0502936591274664e-07,True
subject Var,0.595532430290001,0.13821456601593501,4.3087530312929605,1.6417757263544242e-05,0.3246368587599347,0.8664280018200674,,
