predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.21036044185914085,0.020709528222088568,10.15766460748114,3.0632594678454346e-24,0.16977051240703145,0.25095037131125025,,
onoff,-0.07106190351600172,0.009131692515667195,-7.781898415226006,7.144422798852825e-15,-0.08895969196460339,-0.053164115067400056,5.71553823908226e-14,True
valence,-0.03235581115602927,0.00992246925741097,-3.260862827250698,0.001110737601639659,-0.051803493538260664,-0.012908128773797874,0.004442950406558636,True
valence_sq,0.016365218683068547,0.007040080108368878,2.3245784751247975,0.020094510874940213,0.002566915222388706,0.030163522143748386,0.03544278965419277,True
selfother,-0.00023435072640273107,0.007741225903249995,-0.030273076813885993,0.9758492683184905,-0.01540687469296127,0.014938173240155807,0.9758492683184905,False
time,-0.001782481069907879,0.008757780405472884,-0.20353114458019256,0.8387199052303476,-0.018947415249145325,0.015382453109329565,0.9585370345489687,False
time_sq,0.00947166167382422,0.007329047987322389,1.292345430157924,0.19623754565308005,-0.004893008422293434,0.023836331769941873,0.2616500608707734,False
confidence,-0.018728100983694592,0.007566572934971888,-2.47511008545696,0.013319511306617453,-0.033558311422635025,-0.0038978905447541595,0.03544278965419277,True
time_on_task,0.012329536045897543,0.0053893583412065,2.2877558450005324,0.022151743533870484,0.0017665877973522745,0.02289248429444281,0.03544278965419277,True
subject Var,0.260941089237935,0.0633249867071597,4.120665519357026,3.777795470756224e-05,0.13682639597042434,0.3850557825054457,,
