predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.05000843326495319,0.009274272094463585,5.392168005811095,6.961263491629078e-08,0.03183119397697971,0.06818567255292667,,
onoff,-0.02340125914706884,0.002802080095006932,-8.351388380641898,6.74651830958631e-17,-0.028893235215079,-0.01790928307905868,5.397214647669048e-16,True
valence,-0.004864584126145521,0.0030412962453677038,-1.5995101212369316,0.10970730151874344,-0.010825415233383113,0.00109624698109207,0.2925528040499825,False
valence_sq,0.0013203403526119073,0.0021295003225583263,0.6200235513586045,0.5352422815921571,-0.0028534035846688403,0.005494084289892655,0.5352422815921571,False
selfother,0.002381451838174594,0.002363000598481771,1.007808393999002,0.313546455407811,-0.0022499442302962706,0.007012847906645459,0.418061940543748,False
time,-0.0034846006953739585,0.002662219601447463,-1.3089080605819905,0.19056549587387273,-0.008702455233147563,0.0017332538423996458,0.37987273226003104,False
time_sq,-0.004681363331951507,0.002225457176310699,-2.1035512980358226,0.03541760606043817,-0.009043179246656683,-0.000319547417246332,0.1416704242417527,False
confidence,-0.0015752795782253146,0.0022787448301373418,-0.6912926613772598,0.4893816426802361,-0.006041537375251348,0.0028909782188007186,0.5352422815921571,False
time_on_task,0.0019058988882989876,0.0016131740445837668,1.181458934761593,0.2374204576625194,-0.0012558641398800069,0.005067661916477982,0.37987273226003104,False
subject Var,0.6103349887877747,0.1418839512333154,4.3016492244717215,1.6953154254749584e-05,0.33224755438623915,0.8884224231893103,,
