subject,sart,probe_number,global_probe_index,n_trials,n_in_zone,n_out_zone,prop_in_zone,prop_out_zone,vtc_raw_mean,vtc_smoothed_mean,vtc_median,onoff,valence,time,selfother,confidence
2,Sart1,1.0,1.0,40,19,21,0.475,0.525,0.788447251152542,0.7684023185964236,0.7255770847804592,96.0,94.0,49.0,8.0,97.0
2,Sart1,2.0,2.0,40,30,10,0.75,0.25,0.6448226251989443,0.703242327936657,0.7255770847804592,98.0,96.0,53.0,2.0,97.0
2,Sart1,3.0,3.0,30,23,7,0.7666666666666667,0.23333333333333334,0.663173498783526,0.6791537191700957,0.7255770847804592,96.0,97.0,50.0,3.0,97.0
2,Sart1,4.0,4.0,20,8,12,0.4,0.6,0.8388106863822113,0.8771813167900986,0.7255770847804592,97.0,53.0,51.0,3.0,97.0
2,Sart1,5.0,5.0,30,21,9,0.7,0.3,0.6313310272394766,0.6096572673777103,0.7255770847804592,97.0,97.0,53.0,3.0,97.0
2,Sart1,6.0,6.0,40,26,14,0.65,0.35,0.6812266959836251,0.6727453795047087,0.7255770847804592,96.0,96.0,53.0,2.0,96.0
2,Sart1,7.0,7.0,20,8,12,0.4,0.6,0.8235461400373463,0.8682312559609111,0.7255770847804592,98.0,95.0,53.0,5.0,96.0
2,Sart1,8.0,8.0,20,14,6,0.7,0.3,0.5240751223727461,0.566151451950885,0.7255770847804592,96.0,95.0,50.0,5.0,96.0
2,Sart1,9.0,9.0,30,18,12,0.6,0.4,0.6256000394398546,0.6501694320399821,0.7255770847804592,96.0,94.0,62.0,6.0,96.0
2,Sart1,10.0,10.0,40,22,18,0.55,0.45,0.7299679683297952,0.7273348580948223,0.7255770847804592,96.0,90.0,53.0,5.0,96.0
2,Sart1,11.0,11.0,20,1,19,0.05,0.95,1.1404865421517552,1.2397663409139814,0.7255770847804592,97.0,97.0,60.0,4.0,96.0
2,Sart1,12.0,12.0,20,12,8,0.6,0.4,0.6146631753037287,0.629718793338729,0.7255770847804592,97.0,97.0,62.0,6.0,96.0
2,Sart1,13.0,13.0,30,15,15,0.5,0.5,0.6653826540070809,0.6643107969484309,0.7255770847804592,97.0,96.0,51.0,5.0,96.0
2,Sart1,14.0,14.0,30,16,14,0.5333333333333333,0.4666666666666667,0.7730787949237368,0.7538364023575176,0.7255770847804592,96.0,94.0,57.0,4.0,96.0
2,Sart1,15.0,15.0,40,13,27,0.325,0.675,1.029086785348294,1.017274343511411,0.7255770847804592,94.0,94.0,53.0,3.0,95.0
2,Sart2,1.0,16.0,40,19,21,0.475,0.525,0.7454230661285337,0.7365900754914378,0.7255770847804592,98.0,90.0,53.0,3.0,97.0
2,Sart2,2.0,17.0,40,25,15,0.625,0.375,0.6740588618150706,0.68484591517321,0.7255770847804592,97.0,91.0,51.0,4.0,96.0
2,Sart2,3.0,18.0,20,20,0,1.0,0.0,0.3721624768229218,0.3638656391679466,0.7255770847804592,96.0,93.0,53.0,4.0,97.0
2,Sart2,4.0,19.0,40,32,8,0.8,0.2,0.5979927752977221,0.5735884075411735,0.7255770847804592,97.0,95.0,53.0,3.0,97.0
2,Sart2,5.0,20.0,30,17,13,0.5666666666666667,0.43333333333333335,0.7376074406573958,0.7323272225190592,0.7255770847804592,97.0,89.0,48.0,2.0,97.0
2,Sart2,6.0,21.0,40,24,16,0.6,0.4,0.6725439859331174,0.6410899312394871,0.7255770847804592,95.0,93.0,59.0,4.0,97.0
2,Sart2,7.0,22.0,20,10,10,0.5,0.5,0.7366267193828758,0.7132778836483775,0.7255770847804592,96.0,92.0,58.0,3.0,97.0
2,Sart2,8.0,23.0,30,8,22,0.26666666666666666,0.7333333333333333,1.0113163082651957,0.9433791933617836,0.7255770847804592,99.0,91.0,48.0,4.0,97.0
2,Sart2,9.0,24.0,40,28,12,0.7,0.3,0.6586128381357454,0.6249798979713449,0.7255770847804592,83.0,91.0,52.0,13.0,88.0
2,Sart2,10.0,25.0,30,24,6,0.8,0.2,0.5445970421094398,0.5379800324815398,0.7255770847804592,96.0,93.0,52.0,2.0,97.0
2,Sart2,11.0,26.0,20,11,9,0.55,0.45,0.8265372487664981,0.8088327957497781,0.7255770847804592,97.0,91.0,52.0,3.0,97.0
2,Sart2,12.0,27.0,30,10,20,0.3333333333333333,0.6666666666666666,0.7886760703114012,0.783509906520346,0.7255770847804592,95.0,88.0,52.0,4.0,93.0
