predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-29.368286484999448,6.0380824894406215,-4.863843204586656,1.1512812703175896e-06,-41.20271069998502,-17.533862270013877,True,True
group_bdi3[T.Controls High BDI],3.18622032428158,8.106575186102566,0.393041481900254,0.6942888436275895,-12.702375078445534,19.074815727008694,False,False
group_bdi3[T.Risk of Depression],1.2415950824500708,7.9991953990037805,0.1552149960738175,0.8766518264044749,-14.436539804895848,16.919729969795988,False,False
inclusion_exclusion[T.inclusion],3.936312159082977,5.402636117835045,0.7285910198705634,0.4662518732835952,-6.652660053449006,14.52528437161496,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],-8.330319958399183,7.357477374592855,-1.13222501874974,0.25753984429746013,-22.75071062966949,6.090070712871125,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-1.209488843259051,6.661367490171042,-0.18156765034261685,0.8559220380960904,-14.265529211780265,11.846551525262164,False,False
probe_number,0.023439926964949283,0.38501008871092735,0.060881331820238124,0.9514537169125733,-0.7311659805930396,0.7780458345229381,False,False
group_bdi3[T.Controls High BDI]:probe_number,-0.5467685875842009,0.5188532135016151,-1.053802064545754,0.2919735480999154,-1.5637021993102378,0.4701650241418359,False,False
group_bdi3[T.Risk of Depression]:probe_number,-0.06484195011130518,0.48601088250704516,-0.1334166629702273,0.8938638680686873,-1.0174057759196415,0.8877218756970311,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.12196526871563926,0.5905599167474997,-0.20652480003614404,0.8363809946520622,-1.2794414362537114,1.035510898822433,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,0.9134468001581633,0.7830337045645137,1.166548508491316,0.24339274803122368,-0.6212710594692605,2.4481646597855873,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.03090586734385781,0.7204425535211193,-0.04289844789540437,0.9657824860132945,-1.442947325175322,1.3811355904876064,False,False
subject_id Var,1.3027248579813684,0.4037388454802422,3.226652259412378,0.001252475744637426,0.5114112616803117,2.0940384542824253,True,True
