thought_dim,eva_dim,n_obs,n_subjects,eva_coef,eva_pval,eva_ci_lower,eva_ci_upper,group_coef,group_pval,aic,bic,converged,eva_sig,group_sig
onoff,eva_EVAtense,853,33,0.48658241596743174,0.10422106179699071,-0.10039920765994031,1.0735640395948038,-7.434844602131357,0.09981899828589381,,,True,,
onoff,eva_EVAfeel,853,33,0.40653544308675377,0.18491560541117924,-0.19446948646034684,1.0075403726338543,-7.536897657361563,0.08924154328475396,,,True,,
onoff,eva_EVAmood,853,33,1.710803222387887,8.54117367140857e-06,0.9574893912232632,2.4641170535525108,-4.965074083210539,0.2515975350356162,,,True,***,
onoff,eva_EVAhurt,853,33,0.6998676479710311,0.016387164764095363,0.12836161938674318,1.271373676555319,-7.41618635185651,0.09905815918703471,,,True,*,
onoff,eva_total_score,853,33,0.24021329279664974,0.00782777819782271,0.06317796908211507,0.4172486165111844,-6.557509919758595,0.14197090099881468,,,True,**,
valence,eva_EVAtense,853,33,1.2613267907107564,0.0008674498726338572,0.5190100992697422,2.0036434821517703,-7.992997228214611,0.11227036699442539,,,True,***,
valence,eva_EVAfeel,853,33,1.7945696433943175,3.2941962105292806e-06,1.0384178682924698,2.550721418496165,-6.658602229489507,0.17398694389952318,,,True,***,
valence,eva_EVAmood,853,33,3.278814500742092,8.607460680845984e-12,2.3376445878781382,4.219984413606046,-4.061983301742086,0.38799957269973806,,,True,***,
valence,eva_EVAhurt,853,33,1.209953274079178,0.0011321220053072398,0.4814937086717279,1.9384128394866282,-8.901010668081177,0.06633276533559214,,,True,**,
valence,eva_total_score,853,33,0.5725582400037278,5.134926018966749e-07,0.3490672024480095,0.7960492775594461,-6.167508666851059,0.19142816903042192,,,True,***,
time,eva_EVAtense,853,33,-0.07601812348772971,0.8535026323499997,-0.8829058782328801,0.7308696312574207,-4.192667529586088,0.18486050566056111,,,True,,
time,eva_EVAfeel,853,33,-0.5920406602358382,0.1739999785034595,-1.4455971974901707,0.2615158770184943,-5.277537547501531,0.0969338599024424,,,True,,
time,eva_EVAmood,853,33,0.39991319288872834,0.4655658137892488,-0.674229343202462,1.4740557289799185,-3.2934966552975062,0.3057826897957887,,,True,,
time,eva_EVAhurt,853,33,0.125323920981261,0.7535368989349678,-0.656990435602373,0.907638277564895,-3.8998679530331564,0.20331249347827307,,,True,,
time,eva_total_score,853,33,-0.023422292203382454,0.8532680239684167,-0.27163411509718505,0.22478953069042015,-4.2044831764395045,0.18594511779707812,,,True,,
selfother,eva_EVAtense,853,33,2.302825573266086,3.532869337966949e-05,1.2115861213965384,3.3940650251356335,9.913474942563576,0.05859716036431498,,,True,***,
selfother,eva_EVAfeel,853,33,1.6131952925598447,0.0048354696964424205,0.4911105207747042,2.7352800643449853,8.432481270783912,0.1509890322262127,,,True,**,
selfother,eva_EVAmood,853,33,3.310862673694469,3.6606403326890307e-06,1.9092454896812894,4.712479857707648,11.425282724372982,0.04977051964313197,,,True,***,*
selfother,eva_EVAhurt,853,33,1.6136906608131858,0.0026622962057378068,0.5609262936950226,2.666455027931349,7.085526342591355,0.21123330580852706,,,True,**,
selfother,eva_total_score,853,33,0.6913763500614512,3.5875031631249165e-05,0.36347455402295764,1.0192781460999447,10.23275227855767,0.06307407321282049,,,True,***,
confidence,eva_EVAtense,853,33,0.8223366459249667,0.07020851555039412,-0.06785616192889632,1.7125294537788296,-3.860490592922931,0.48159108417729035,,,True,,
confidence,eva_EVAfeel,853,33,1.0809307654686968,0.020155886346046533,0.16909681702451784,1.9927647139128757,-3.1628290972874984,0.569258171560235,,,True,*,
confidence,eva_EVAmood,853,33,1.8730423552560278,0.0014337806258878007,0.7214210777343149,3.0246636327777408,-1.8711938775277932,0.7337600526089174,,,True,**,
confidence,eva_EVAhurt,853,33,1.7132284291897073,8.745597571774778e-05,0.8572833167962934,2.569173541583121,-3.1523324071636085,0.5620743254017515,,,True,***,
confidence,eva_total_score,853,33,0.4390244441793442,0.0013240957652087854,0.1710234984331762,0.7070253899255122,-2.2297280737385647,0.6820746682791342,,,True,**,
