thought_dim,n_obs,n_subjects,aic,bic,converged,group_coef,group_pval,EVAtense_coef,EVAtense_pval,EVAtense_ci_lower,EVAtense_ci_upper,EVAfeel_coef,EVAfeel_pval,EVAfeel_ci_lower,EVAfeel_ci_upper,EVAmood_coef,EVAmood_pval,EVAmood_ci_lower,EVAmood_ci_upper,EVAhurt_coef,EVAhurt_pval,EVAhurt_ci_lower,EVAhurt_ci_upper,EVAtense_sig,EVAfeel_sig,EVAmood_sig,EVAhurt_sig,group_sig
onoff,853,33,,,True,-5.530411984587793,0.213609787168763,0.1404387718043151,0.7955585181014251,-0.9219137229449433,1.2027912665535736,-1.2479937091786406,0.03655083025657574,-2.4179218629503483,-0.07806555540693272,2.5221688338627635,7.3836486972937475e-06,1.41931096075585,3.6250267069696767,0.21439332678138726,0.611243149640317,-0.6122905424809827,1.0410771960437573,,*,***,,
valence,853,33,,,True,-3.9945222986188242,0.4164549974038141,-0.669545634287097,0.317889220970209,-1.9834011768863529,0.6443099083121587,0.7463309395946878,0.3141908122484094,-0.7070512981072283,2.199713177296604,3.571211223681166,4.290519691864835e-07,2.186716226246296,4.955706221116036,-0.5104170257360376,0.33623071195990406,-1.5507226347229053,0.52988858325083,,,***,,
time,853,33,,,True,-4.00750172842593,0.22191770521732357,0.9655036838402226,0.18647692642835634,-0.4669319384499854,2.3979393061304304,-2.6260541048060997,0.002480752312208508,-4.327150247032695,-0.9249579625795041,1.6908752178937139,0.03943453361957015,0.08181691673577984,3.299933519051648,0.3457408515022093,0.5523791884306829,-0.7946850016593126,1.4861667046637312,,**,*,,
selfother,853,33,,,True,12.06790418500741,0.019858510335777773,2.830388921026791,0.005148343568868234,0.847455165668999,4.813322676384583,-2.5680609714118536,0.02116793112487002,-4.751731231717615,-0.38439071110609246,3.4727847740178173,0.0007938992211290742,1.4439593174336967,5.501610230601938,-0.12217702187642811,0.8704393261704393,-1.5903674933588163,1.34601344960596,**,*,***,,*
confidence,853,33,,,True,-2.7015938112013584,0.6337856240383234,-0.8993854360408572,0.27864382384791553,-2.52649490725701,0.7277240351752955,-0.05108194963432916,0.9552935234486809,-1.8369844225653853,1.734820523296727,1.1207980429004458,0.1937170906668202,-0.5694299045863269,2.8110259903872183,1.801394187593642,0.004873536789323836,0.5472834696096629,3.055504905577621,,,,**,
