cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,negative,22,"AF4,AF7,AF8,AFz,F1,F2,F3,F4,F5,F6,F7,F8,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Fp2,Fz,T7",-75.61956507643157,0.0007998400319936012
1,negative,4,"P3,P5,P7,PO3",-11.258058054578795,0.014797040591881624
2,negative,1,TP8,-2.9262924134416726,0.08058388322335533
