subject,auc,label_std,label_mean
03,0.4,11.146460861797783,64.07692307692308
05,0.6100000000000001,21.813071792164003,78.68888888888888
06,0.49250000000000005,25.498789409520054,57.95348837209303
08,0.8,12.566395096219345,81.28571428571429
10,1.0,8.456285941820116,79.21052631578948
12,0.7583333333333334,22.856583809122114,60.513513513513516
14,0.7499999999999999,16.992014931389726,74.85714285714286
15,0.55,13.74954544703206,74.625
19,0.6888888888888889,8.767331228264213,60.592592592592595
20,0.5,7.755740786766609,90.83333333333333
22,0.5277777777777778,10.52028570383535,81.03125
24,0.3,8.057485769337537,73.0
25,0.6599999999999999,21.570316205985847,72.52272727272727
26,0.5666666666666668,13.897070606015191,78.85714285714286
28,0.6291666666666667,14.500527287219487,81.28947368421052
29,0.6543333333333334,24.779023386727733,68.2
30,0.768,28.73990328474204,65.76
31,0.595,20.701659461343702,45.61538461538461
32,0.625,19.359603063317977,73.025
33,0.45,34.95584945915936,74.24324324324324
35,0.3555555555555556,10.689954736814009,74.85714285714286
37,0.462,32.51764303948761,55.244897959183675
38,0.4833333333333333,20.099131988362906,55.39473684210526
40,0.7666666666666666,12.110188547940394,77.36
41,0.3083333333333333,18.22459092231467,66.75
42,0.3972222222222223,12.869861434115494,72.76666666666667
43,0.6333333333333334,10.901632365627368,86.70588235294117
