marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-1.9416307487193923e-07,3.456638974150866e-06,-0.05617105990064698,0.9552055356049013,2460,42,True,0.9596933006129534,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-5.153420137241976e-07,2.387368639697672e-06,-0.21586193483276161,0.8290953691631915,2460,42,True,0.9089374567816543,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-1.2192527301328115e-05,3.659547313602147e-06,-3.3317036935168978,0.0008631610603366221,2460,42,True,0.006905288482692977,True,Omission Rate,Time (probe dim.)
omission_rate,time_sq,onoff:time_sq,-1.939754963789895e-05,5.209863396898727e-06,-3.723235747303033,0.00019668570853892896,2460,42,True,0.0023602285024671476,True,Omission Rate,Time² (curvature)
omission_rate,confidence,onoff:confidence,4.77430382495955e-06,4.093692238921824e-06,1.1662586111302256,0.24350990175484333,2460,42,True,0.73052970526453,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-1.4193673262806047e-05,3.502494265948787e-06,-4.0524472518904,5.068465378204597e-05,2460,42,True,0.0012164316907691034,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,6.068828122495313e-06,1.4968504365291529e-05,0.40543984718790677,0.6851542259044074,1613,42,True,0.9089374567816543,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,6.268126949062611e-06,1.0093601064770757e-05,0.6210000681461421,0.5345995783405815,1613,42,True,0.9089374567816543,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,1.3401059494563e-05,1.531017182275687e-05,0.8753043172672832,0.38140834568370385,1613,42,True,0.9089374567816543,False,Commission Rate,Time (probe dim.)
commission_rate,time_sq,onoff:time_sq,3.455633405469434e-05,2.155237887317047e-05,1.6033651903601172,0.10885405155087859,1613,42,True,0.5668288250166715,False,Commission Rate,Time² (curvature)
commission_rate,confidence,onoff:confidence,9.258430826335557e-07,1.831957390550615e-05,0.05053846161538088,0.9596933006129534,1613,42,True,0.9596933006129534,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,9.163384962638488e-06,1.6302809625267332e-05,0.5620739721106954,0.5740656209832529,1613,42,True,0.9089374567816543,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,6.687355755612808e-06,1.58080610639747e-05,0.42303453463073687,0.6722700647003943,1613,42,True,0.9089374567816543,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,7.4937998404076e-06,1.0659884460173558e-05,0.7029907189337014,0.48206153340798763,1613,42,True,0.9089374567816543,False,Total Errors,Self/Other
total_errors,time,onoff:time,3.4566707595731226e-06,1.6412767952101885e-05,0.2106086413736476,0.8331926687165164,1613,42,True,0.9089374567816543,False,Total Errors,Time (probe dim.)
total_errors,time_sq,onoff:time_sq,1.4599478577153244e-05,2.2648540060822083e-05,0.6446101399007049,0.519179862157793,1613,42,True,0.9089374567816543,False,Total Errors,Time² (curvature)
total_errors,confidence,onoff:confidence,5.748526506667162e-06,1.903659693083888e-05,0.3019723812796956,0.7626731172468466,1613,42,True,0.9089374567816543,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-4.949326347946291e-06,1.680385556613233e-05,-0.29453516358004833,0.7683489977445457,1613,42,True,0.9089374567816543,False,Total Errors,Time on Task
rtcv,valence,onoff:valence,-3.4295279300272514e-06,4.777713622964471e-06,-0.7178178100803164,0.47286963037932384,2444,42,True,0.9089374567816543,False,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-5.084564211953729e-06,3.2534052371688356e-06,-1.5628438025071838,0.11808933854513991,2444,42,True,0.5668288250166715,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,2.685543883370261e-06,4.984866402510366e-06,0.5387393896891254,0.5900666904244523,2444,42,True,0.9089374567816543,False,RTCV (RT Variability),Time (probe dim.)
rtcv,time_sq,onoff:time_sq,8.85167447380847e-06,7.079285597850597e-06,1.2503626745184575,0.21116709302432946,2444,42,True,0.724001461797701,False,RTCV (RT Variability),Time² (curvature)
rtcv,confidence,onoff:confidence,8.366482023229666e-06,5.718377370962727e-06,1.4630867255654927,0.1434436496760568,2444,42,True,0.5737745987042272,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-2.417882082907101e-06,4.944512652302251e-06,-0.4890031137409048,0.6248394924169458,2444,42,True,0.9089374567816543,False,RTCV (RT Variability),Time on Task
