subject,auc,subject_median,dist_from_50
02,0.6857142857142858,94.0,44.0
04,0.6428571428571429,75.0,25.0
05,0.4903381642512077,53.0,3.0
06,0.6063492063492064,59.0,9.0
08,0.6873065015479876,67.5,17.5
11,0.56,74.0,24.0
12,0.5666666666666667,37.0,13.0
15,0.7142857142857143,59.0,9.0
21,0.38636363636363635,45.0,5.0
24,0.5042735042735043,70.0,20.0
25,0.5112781954887218,54.0,4.0
26,0.6007905138339921,76.0,26.0
27,0.5944444444444446,92.0,42.0
28,0.725,49.0,1.0
29,0.6578947368421052,49.0,1.0
30,0.5933014354066986,45.0,5.0
32,0.5227272727272727,64.0,14.0
34,0.6682692307692308,80.0,30.0
35,0.6149068322981366,25.0,25.0
36,0.48148148148148145,46.0,4.0
37,0.5488721804511278,48.0,2.0
38,0.41999999999999993,65.0,15.0
40,0.6728778467908902,51.0,1.0
43,0.5535714285714286,85.0,35.0
