marker_name,marker_type,n_clusters,min_cluster_p_uncorrected,min_cluster_p_corrected,n_sig_uncorrected,n_sig_corrected,marker_p_uncorrected,marker_p_corrected,marker_rejected,correction_method,correction_unit,correction_family_size,correction_alpha
evoked/N1,evoked,2,0.08618276344731053,0.08618276344731053,0,0,0.08618276344731053,0.08618276344731053,False,fdr_bh,marker,4,0.05
evoked/P1,evoked,1,0.02499500099980004,0.03332666799973339,1,1,0.02499500099980004,0.03332666799973339,True,fdr_bh,marker,4,0.05
evoked/P3a,evoked,1,0.012997400519896021,0.025994801039792043,1,1,0.012997400519896021,0.025994801039792043,True,fdr_bh,marker,4,0.05
evoked/P3b,evoked,1,0.001999600079984003,0.007998400319936013,1,1,0.001999600079984003,0.007998400319936013,True,fdr_bh,marker,4,0.05
sleep/PE_alpha,sleep,4,0.009798040391921616,0.01692388794968279,2,2,0.009798040391921616,0.01692388794968279,True,fdr_bh,marker,19,0.05
sleep/PE_beta,sleep,3,0.0007998400319936012,0.003799240151969606,2,2,0.0007998400319936012,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/PE_gamma,sleep,3,0.0009998000399920016,0.003799240151969606,2,2,0.0009998000399920016,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/PE_theta,sleep,4,0.0629874025194961,0.07039768516884858,0,0,0.0629874025194961,0.07039768516884858,False,fdr_bh,marker,19,0.05
sleep/kolmogorov_complexity,sleep,3,0.08798240351929613,0.0928703148259237,0,0,0.08798240351929613,0.0928703148259237,False,fdr_bh,marker,19,0.05
sleep/psd_relative_alpha,sleep,1,0.0027994401119776045,0.007123575284943012,1,1,0.0027994401119776045,0.007123575284943012,True,fdr_bh,marker,19,0.05
sleep/psd_relative_beta,sleep,3,0.03679264147170566,0.04369126174765048,1,1,0.03679264147170566,0.04369126174765048,True,fdr_bh,marker,19,0.05
sleep/psd_relative_delta,sleep,2,0.004399120175964807,0.009287031482592372,2,2,0.004399120175964807,0.009287031482592372,True,fdr_bh,marker,19,0.05
sleep/psd_relative_gamma,sleep,3,0.0003999200159968006,0.003799240151969606,1,1,0.0003999200159968006,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/psd_relative_theta,sleep,2,0.0011997600479904018,0.003799240151969606,1,1,0.0011997600479904018,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/slowwaves_Density,sleep,1,0.002999400119976005,0.007123575284943012,1,1,0.002999400119976005,0.007123575284943012,True,fdr_bh,marker,19,0.05
sleep/slowwaves_Duration,sleep,1,0.020195960807838434,0.03197693794574419,1,1,0.020195960807838434,0.03197693794574419,True,fdr_bh,marker,19,0.05
sleep/slowwaves_Frequency,sleep,2,0.022595480903819236,0.03302416439788965,1,1,0.022595480903819236,0.03302416439788965,True,fdr_bh,marker,19,0.05
sleep/slowwaves_PTP,sleep,1,0.0005998800239952009,0.003799240151969606,1,1,0.0005998800239952009,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/slowwaves_Slope,sleep,1,0.21375724855028994,0.21375724855028994,0,0,0.21375724855028994,0.21375724855028994,False,fdr_bh,marker,19,0.05
sleep/wsmi_alpha,sleep,4,0.033393321335732855,0.04229820702526162,2,2,0.033393321335732855,0.04229820702526162,True,fdr_bh,marker,19,0.05
sleep/wsmi_beta,sleep,6,0.008798240351929614,0.016716656668666268,4,4,0.008798240351929614,0.016716656668666268,True,fdr_bh,marker,19,0.05
sleep/wsmi_gamma,sleep,4,0.0001999600079984003,0.003799240151969606,1,1,0.0001999600079984003,0.003799240151969606,True,fdr_bh,marker,19,0.05
sleep/wsmi_theta,sleep,3,0.03099380123975205,0.042063015968234925,1,1,0.03099380123975205,0.042063015968234925,True,fdr_bh,marker,19,0.05
