predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,4.235295437133736,3.0311129876786644,1.3972740225620155,0.16233118448828943,-1.705576851788047,10.17616772605552,False,False
inclusion_exclusion[T.inclusion],-2.798653769477931,2.261683454012479,-1.237420632190065,0.21593096296790826,-7.231471883772541,1.6341643448166794,False,False
probe_number,-0.04564879592852705,0.25756903446242896,-0.17722936308629034,0.8593282323215297,-0.5504748270076438,0.45917723515058967,False,False
subject_id Var,0.09885254788121925,0.04494357184563182,2.199481345647141,0.02784371413137097,0.01076476572719251,0.186940330035246,True,False
