Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,inclusion,113,55.60176991150443,20.953409125540905,1.971130922817563
Controls,exclusion,144,56.0,22.815771750248565,1.9013143125207137
Risk of Depression,inclusion,106,49.54716981132076,19.678914059988504,1.9113851013010423
Risk of Depression,exclusion,106,47.84905660377358,17.69142512380083,1.7183431107699858
