marker,present_estimate,present_p_fdr,present_significant_fdr,time_sq_estimate,time_sq_p_fdr,time_sq_significant_fdr
Omission Rate,0.00039742757740070613,0.07888121698930518,False,-0.0005611164432126541,0.01930910313505296,True
Commission Rate,-0.0009569823002086227,0.09205072042009314,False,0.0016398045493533013,0.012917241331962903,True
Total Errors,-0.0005808478734920526,0.3568843279325788,False,0.001151051127356729,0.09313609712206733,False
RTCV (RT Variability),-0.00025511030478764864,0.5004143977781721,False,0.0003643946604388061,0.3366094912729243,False
