predictor,estimate,std_error,z_value,p_value,conf_lower,conf_upper,t_value,p_fdr,significant_fdr,converged,conv_message,singular,re_sd,max_grad,dispersion,n_obs
Intercept,-3.63930626659833,0.175170355474524,-20.7758113908013,7.16433466221193e-96,-3.98264016332839,-3.29597236986826,-20.7758113908013,,,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
onoff,-0.58081497864918,0.0561817622098537,-10.3381409874557,4.736361458651591e-25,-0.690931232580494,-0.470698724717867,-10.3381409874557,2.8418168751909544e-24,True,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
valence,-0.0905145139758746,0.0487853272496896,-1.85536346845866,0.0635443404451607,-0.186133755385266,0.0051047274335169,-1.85536346845866,0.09531651066774106,False,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
selfother,-0.0650701950775893,0.039701486085845,-1.63898638295026,0.101216095657768,-0.142885107805846,0.0127447176506669,-1.63898638295026,0.12145931478932159,False,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
time,0.0404699937305321,0.0352769355246753,1.14720831411857,0.25129553621301,-0.0286727998978315,0.109612787358896,1.14720831411857,0.25129553621301,False,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
confidence,-0.0854201210726012,0.035563382715511,-2.40191215093117,0.0163096246728497,-0.155124351195003,-0.0157158909501998,-2.40191215093117,0.048928874018549104,True,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
time_on_task,0.0724588413694402,0.0335449100314802,2.16005472369552,0.0307684334537981,0.0067108177077389,0.138206865031141,2.16005472369552,0.0615368669075962,False,True,nan,False,subject=1.0897,0.0001649436853767,1.18057722955809,2460
