trace_index,trace_type,trace_name,row_label,col_label,x,y,subject
0,scatter,,,,0.0020136360391254,0.0019636787721574,PE alpha
0,scatter,,,,0.0017453068978045,0.0018196992509496,PE beta
0,scatter,,,,0.0018436653226139,0.0018702687179143,PE gamma
0,scatter,,,,0.0017355660158798,0.0017106427939267,PE theta
0,scatter,,,,0.0018868858101853,0.0016311916641404,PSD alpha
0,scatter,,,,0.0019616391404595,0.0017948457641759,PSD beta
0,scatter,,,,0.0020177525159473,0.0017871648247874,PSD delta
0,scatter,,,,0.0017738518996959,0.0019170155640138,PSD theta
0,scatter,,,,0.002002381427188,0.0015241755014959,SW Density
0,scatter,,,,0.0013996741659975,0.0015813483136233,SW Duration
0,scatter,,,,0.0014876687612332,0.001732720228366,SW Frequency
0,scatter,,,,0.0017348443892558,0.0016969777228128,SW PTP
0,scatter,,,,0.0016374932957201,0.0016550078498425,SW Slope
0,scatter,,,,0.0018518394903443,0.0020273617469849,wSMI alpha
0,scatter,,,,0.0018849121916906,0.0019468266237632,wSMI beta
0,scatter,,,,0.0019733729053678,0.0019724900631866,wSMI gamma
1,scatter,,,,0.0024955455872629,0.0024443312755357,
1,scatter,,,,0.0022840646208924,0.0020706161325796,
1,scatter,,,,0.0024290231452719,0.0029200141159188,
1,scatter,,,,0.0020787667222434,0.0028000802173748,
1,scatter,,,,0.0023853595897139,0.0018669501030851,
1,scatter,,,,0.0021833984144037,0.0019020338433683,
1,scatter,,,,0.0020408586456356,0.0020854760494123,
2,scatter,,,,0.0016996933974936,0.0018629195950379,P1
2,scatter,,,,0.0013824672658947,0.0013956438925164,PE beta
2,scatter,,,,0.0012077400115,0.0013650069642473,PE gamma
2,scatter,,,,0.0020562545606603,0.0015539390012903,PE theta
2,scatter,,,,0.001953021666788,0.0015048509846184,PSD alpha
2,scatter,,,,0.0016466802925166,0.0016179780138732,PSD beta
2,scatter,,,,0.0017609347961762,0.0011952131873619,PSD delta
2,scatter,,,,0.0014689227299947,0.0014128927301731,PSD theta
2,scatter,,,,0.0013957812204863,0.0011143002704324,SW Density
2,scatter,,,,0.0017581030862966,0.0018278954714787,SW Duration
2,scatter,,,,0.0017493878003804,0.0014894588532503,SW Frequency
2,scatter,,,,0.0017501885186485,0.0013801329831279,SW PTP
2,scatter,,,,0.001532446824809,0.0014852142601954,wSMI beta
2,scatter,,,,0.001440131689205,0.0017231532204623,wSMI gamma
3,scatter,,,,0.001938755482857,0.0025675732652327,
3,scatter,,,,0.0014030662081635,0.0022965670627234,
3,scatter,,,,0.0038299881908172,0.0011058260792017,
3,scatter,,,,0.0012632370752394,0.0019882877112714,
3,scatter,,,,0.0036956734885314,0.0018681722994912,
3,scatter,,,,0.0021953624003255,0.0013830286477306,
3,scatter,,,,0.0022733904238311,0.0020626406836412,
3,scatter,,,,0.0020819002599751,0.0016085904937695,
3,scatter,,,,0.0018386681402872,0.0022379854022387,
