channel,mean_auc,auc_single,n_features,std_auc,perm_p,sig,fwer_threshold,dimension,pipeline,contrast
AF3,0.6748049808429117,0.6885632183908046,19,0.1837644978662221,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
AF4,0.6283510536398468,0.6320057471264368,19,0.1656530320266683,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
AF7,0.6627708429118774,0.6599214559386972,19,0.1552093307924783,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
AF8,0.6397494636015326,0.6536283524904213,19,0.1501414975939233,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
AFz,0.6475325862068966,0.6363084291187739,19,0.1519567900276981,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
C1,0.6112411494252874,0.6020727969348659,23,0.1685661277172217,0.0039920159680638,True,0.5814149425287357,On/Off-Task,WS,Full
C2,0.6507977777777778,0.6730670498084289,23,0.1536045639484219,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
C3,0.6442888697318009,0.6433045977011494,19,0.1405575337452144,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
C4,0.6426091187739464,0.6497279693486591,19,0.1427866584556339,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
C5,0.638966724137931,0.6577873563218392,19,0.1722429392033497,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
C6,0.664593582375479,0.6554329501915708,19,0.1809672017381302,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP1,0.649824521072797,0.6573793103448275,19,0.1683932186535015,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP2,0.6548538314176245,0.6553678160919539,19,0.1453651836509167,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP3,0.6542678544061304,0.6593505747126436,19,0.1696743593614821,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP4,0.6739199233716476,0.6746647509578544,19,0.142943823627015,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP5,0.6461413984674329,0.6406072796934867,19,0.1513293264737,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CP6,0.6479384865900383,0.643478927203065,19,0.1401582288031362,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
CPz,0.6638123946360153,0.6607490421455939,23,0.14184444973753,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Cz,0.6583588888888889,0.6531206896551724,23,0.1312686775460763,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F1,0.6667847126436782,0.6411015325670498,23,0.1451415460279001,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F2,0.638576436781609,0.6340498084291187,23,0.1338902778315394,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F3,0.6751095402298851,0.6733620689655173,19,0.1496632160854212,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F4,0.6478834482758621,0.6606685823754789,23,0.1457968334123795,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F5,0.6657614176245211,0.6778927203065134,19,0.1856422298791929,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F6,0.6398677969348658,0.6447892720306513,19,0.1491477417362525,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F7,0.6545888505747127,0.6556111111111113,19,0.1509563885042477,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
F8,0.6659317816091953,0.6619846743295019,19,0.1367694808944266,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FC1,0.6135636015325671,0.600411877394636,23,0.1815092810442939,0.0039920159680638,True,0.5814149425287357,On/Off-Task,WS,Full
FC2,0.6393668007662835,0.6254770114942529,23,0.154809140626622,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FC3,0.6519850957854406,0.6394961685823755,19,0.1508147624634919,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FC4,0.6293455555555556,0.6237011494252873,19,0.1458221213161621,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FC5,0.6716268007662834,0.6674712643678162,19,0.1372460417636018,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FC6,0.6509934865900382,0.6593199233716476,19,0.1574947451702332,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FT10,0.6537863984674329,0.6440632183908046,19,0.1525109910094854,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FT7,0.6745677203065135,0.6610114942528734,19,0.1880537161958618,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FT8,0.6518279501915708,0.6423122605363986,19,0.1480879681591869,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
FT9,0.6368357854406131,0.6225057471264369,19,0.1701265798232512,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Fp1,0.6382830459770115,0.6375593869731799,19,0.1573444583039526,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Fp2,0.65715030651341,0.6605938697318007,19,0.1460373648051652,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Fz,0.6439819923371647,0.650375478927203,23,0.1442040359000145,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Iz,0.6422378927203064,0.6589099616858237,19,0.1622260592238505,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
O1,0.6498293295019157,0.6645134099616857,19,0.131617973082669,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
O2,0.6655866858237548,0.6660076628352491,19,0.1257095496874301,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
Oz,0.6432158045977011,0.6594885057471264,19,0.1669751699149085,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
P1,0.7005848467432949,0.6842624521072797,31,0.1399221733129948,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
P2,0.6773067241379311,0.6922241379310345,19,0.1355740047893873,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
P3,0.6469031609195403,0.6638735632183906,19,0.1140673724847147,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
P4,0.6695858429118774,0.6774674329501916,19,0.1407343703513249,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
P5,0.6546408429118773,0.6674521072796934,19,0.1444360926854148,0.0019960079840319,True,0.5814149425287357,On/Off-Task,WS,Full
