trace_index,trace_type,trace_name,row_label,col_label,x,y,subject
0,scatter,,,,0.0019150040163680498,0.0012996760283875898,N1
0,scatter,,,,0.0018521925994682078,0.0014188791345694605,P1
0,scatter,,,,0.0018047736215401058,0.000998938461170701,P3b
0,scatter,,,,0.0020661940035683157,0.0016057056564253722,PE alpha
0,scatter,,,,0.00217904167146526,0.0017019362172466324,PSD beta
0,scatter,,,,0.002042980285748063,0.0016293663185836182,PSD theta
0,scatter,,,,0.0018472470435802616,0.0016009373416849644,SW Density
0,scatter,,,,0.001524330610429611,0.0013505540100711515,SW Duration
0,scatter,,,,0.0014642272604600641,0.001108371961105163,SW Frequency
0,scatter,,,,0.0016407194063237742,0.0017415804911980045,SW PTP
0,scatter,,,,0.0016136470006459219,0.0011117560744471214,SW Slope
0,scatter,,,,0.0018769939983906215,0.0015232820065294117,wSMI alpha
0,scatter,,,,0.0017927819462742794,0.001515227442841488,wSMI beta
0,scatter,,,,0.0019528716731804473,0.0013042627225356245,wSMI gamma
0,scatter,,,,0.0018397906864216034,0.0018946983866758335,wSMI theta
1,scatter,,,,0.002126773593007397,0.0034254372585226776,
1,scatter,,,,0.002195118090090537,0.001743699152194533,
1,scatter,,,,0.0023440310740331922,0.0017179894627914606,
1,scatter,,,,0.0020510386858130698,0.0022536675322361883,
1,scatter,,,,0.0028533381558313894,0.0035713688174369655,
1,scatter,,,,0.0017554619048998836,0.003090464633554668,
1,scatter,,,,0.002407114525328579,0.0048076032848356825,
1,scatter,,,,0.0023979229327015087,0.002091324502539884,
