row_label,col_label,xref,yref,x,y,text
,On/Off-Task,x domain,y domain,0.03,0.97,Spearman ρ = 0.61 | p=.002
,Valence,x2 domain,y2 domain,0.03,0.97,Spearman ρ = 0.52 | p=.010
,Self/Other,x3 domain,y3 domain,0.03,0.97,Spearman ρ = 0.60 | p=.002
,Time,x4 domain,y4 domain,0.03,0.97,Spearman ρ = 0.65 | p<.001
,Confidence,x5 domain,y5 domain,0.03,0.97,Spearman ρ = 0.49 | p=.018
,On/Off-Task,x6 domain,y6 domain,0.03,0.97,Spearman ρ = 0.82 | p<.001
,Valence,x7 domain,y7 domain,0.03,0.97,Spearman ρ = 0.45 | p=.032
,Self/Other,x8 domain,y8 domain,0.03,0.97,Spearman ρ = 0.78 | p<.001
,Time,x9 domain,y9 domain,0.03,0.97,Spearman ρ = 0.09 | p=.670
,Confidence,x10 domain,y10 domain,0.03,0.97,Spearman ρ = 0.18 | p=.419
