pipeline,dimension,series,auc
ws,On/Off-Task,Full_Shuffled,0.5208850574712645
ws,On/Off-Task,Full_Shuffled,0.518015325670498
ws,On/Off-Task,Full_Shuffled,0.4708065134099616
ws,On/Off-Task,Full_Shuffled,0.4774195402298851
ws,On/Off-Task,Full_Shuffled,0.4890766283524904
ws,On/Off-Task,Full_Shuffled,0.4972298850574712
ws,On/Off-Task,Full_Shuffled,0.517963601532567
ws,On/Off-Task,Full_Shuffled,0.4917318007662835
ws,On/Off-Task,Full_Shuffled,0.4906015325670498
ws,On/Off-Task,Full_Shuffled,0.4822509578544062
ws,On/Off-Task,Full_Shuffled,0.5349789272030651
ws,On/Off-Task,Full_Shuffled,0.4996379310344827
ws,On/Off-Task,Full_Shuffled,0.515743295019157
ws,On/Off-Task,Full_Shuffled,0.5309080459770115
ws,On/Off-Task,Full_Shuffled,0.4985325670498084
ws,On/Off-Task,Full_Shuffled,0.4725785440613027
ws,On/Off-Task,Full_Shuffled,0.4916130268199233
ws,On/Off-Task,Full_Shuffled,0.4819252873563217
ws,On/Off-Task,Full_Shuffled,0.5050153256704981
ws,On/Off-Task,Full_Shuffled,0.4800325670498084
ws,On/Off-Task,Full_Shuffled,0.5019252873563219
ws,On/Off-Task,Full_Shuffled,0.4665613026819922
ws,On/Off-Task,Full_Shuffled,0.53694061302682
ws,On/Off-Task,Full_Shuffled,0.5502432950191571
ws,On/Off-Task,Full_Shuffled,0.485103448275862
ws,On/Off-Task,Full_Shuffled,0.5382605363984674
ws,On/Off-Task,Full_Shuffled,0.5237816091954024
ws,On/Off-Task,Full_Shuffled,0.4792432950191571
ws,On/Off-Task,Full_Shuffled,0.5106513409961686
ws,On/Off-Task,Full_Shuffled,0.5380172413793104
ws,On/Off-Task,Full_Shuffled,0.4876628352490422
ws,On/Off-Task,Full_Shuffled,0.4991628352490421
ws,On/Off-Task,Full_Shuffled,0.5396264367816093
ws,On/Off-Task,Full_Shuffled,0.4883850574712644
ws,On/Off-Task,Full_Shuffled,0.5370919540229885
