row_label,col_label,xref,yref,x,y,text
On/Off-Task,,x domain,y domain,0.97,0.8,<b>Full 0.63***</b> p_FDR=<.001 | <i>Res. 0.59***</i> p_FDR=<.001
Valence,,x2 domain,y2 domain,0.97,0.8,<b>Full 0.54</b> p_FDR=0.127 | <i>Res. 0.52</i> p_FDR=0.390
Self/Other,,x3 domain,y3 domain,0.97,0.8,<b>Full 0.52</b> p_FDR=0.266 | <i>Res. 0.49</i> p_FDR=0.698
Time,,x4 domain,y4 domain,0.97,0.8,<b>Full 0.54</b> p_FDR=0.127 | <i>Res. 0.51</i> p_FDR=0.390
Confidence,,x5 domain,y5 domain,0.97,0.8,<b>Full 0.62***</b> p_FDR=<.001 | <i>Res. 0.52</i> p_FDR=0.390
