row_label,col_label,xref,yref,x,y,text
,On/Off-Task,x domain,y domain,0.05,0.97,"r = 0.31, n=175"
,Valence,x2 domain,y2 domain,0.05,0.97,"r = 0.43, n=175"
,Self/Other,x3 domain,y3 domain,0.05,0.97,"r = 0.24, n=175"
,Time,x4 domain,y4 domain,0.05,0.97,"r = 0.12, n=175"
,Confidence,x5 domain,y5 domain,0.05,0.97,"r = 0.31, n=175"
