trace_index,trace_type,trace_name,row_label,col_label,x,y,subject
0,scatter,,,,0.0015137398956315,0.0018041354966038,P1
0,scatter,,,,0.001404949658607,0.001268741058487,P3a
0,scatter,,,,0.002078754158961,0.0019080862507807,PE gamma
0,scatter,,,,0.0016883664005121,0.0015776489373862,PE theta
0,scatter,,,,0.0018649231080995,0.0018441572328808,Kolmogorov
0,scatter,,,,0.0018197947047909,0.001524174147749,PSD alpha
0,scatter,,,,0.0019840149750297,0.0017182485293181,PSD beta
0,scatter,,,,0.0016760497823192,0.0019281956644542,PSD delta
0,scatter,,,,0.0016108033879982,0.0016227046475039,SW Duration
0,scatter,,,,0.001605709691838,0.0016630859191464,SW Frequency
0,scatter,,,,0.0016838953806467,0.0015874752402537,SW PTP
0,scatter,,,,0.0018072369397819,0.0017657701101978,SW Slope
0,scatter,,,,0.001902254616964,0.0017214632259849,wSMI alpha
0,scatter,,,,0.0015856306645108,0.001798880195431,wSMI beta
0,scatter,,,,0.0015828179465121,0.0018876791081533,wSMI gamma
0,scatter,,,,0.0015875217444831,0.001588923612936,wSMI theta
1,scatter,,,,0.0023100332174886,0.0021821128360114,
1,scatter,,,,0.0022908136179514,0.0020220465297846,
1,scatter,,,,0.0021627637509433,0.0016186795360812,
1,scatter,,,,0.0019861012966217,0.0019395287595864,
1,scatter,,,,0.0024579543623382,0.0022209055173359,
1,scatter,,,,0.0021595855532177,0.0023836680575259,
1,scatter,,,,0.0022554157160035,0.0017161703143918,
2,scatter,,,,0.0010491458402092,0.0015125805557562,P3a
2,scatter,,,,0.0011682150114898,0.0014085652720132,P3b
2,scatter,,,,0.0019666267110772,0.0014506785648876,PE beta
2,scatter,,,,0.0018326741816691,0.001276342581148,PE theta
2,scatter,,,,0.0021171959396815,0.001328847008137,PSD alpha
2,scatter,,,,0.0020071716131957,0.0015846013549684,PSD beta
2,scatter,,,,0.0019123631080614,0.0016645998211795,PSD gamma
2,scatter,,,,0.0015649804682994,0.0013656143312269,PSD theta
2,scatter,,,,0.0014257016811084,0.0013627678195092,SW Duration
2,scatter,,,,0.0012675388512373,0.0012836136468344,SW Frequency
2,scatter,,,,0.0016777235511651,0.0013126775882853,SW PTP
2,scatter,,,,0.0011542946513898,0.001623152250547,SW Slope
2,scatter,,,,0.0015664827954248,0.0016198766868696,wSMI alpha
2,scatter,,,,0.0011795973556452,0.0014491815989494,wSMI beta
2,scatter,,,,0.0010786944951457,0.0017024884215112,wSMI gamma
3,scatter,,,,0.001705124544114,0.0027160552522572,
3,scatter,,,,0.0010531846637218,0.0043498064803927,
3,scatter,,,,0.0030484552826669,0.0019805180888086,
3,scatter,,,,0.0022300182320724,0.0015516491746151,
3,scatter,,,,0.0021744302425054,0.0014016903311901,
3,scatter,,,,0.0020703690185206,0.0020331903433476,
3,scatter,,,,0.0060382324878802,0.0027995439111022,
3,scatter,,,,0.0037369852109588,0.0034267715543208,
