row_label,col_label,xref,yref,x,y,text
On/Off-Task,,x domain,y domain,0.97,0.8,<b>Full 0.72***</b> p_FDR=<.001 | <i>Res. 0.61***</i> p_FDR=<.001
Valence,,x2 domain,y2 domain,0.97,0.8,<b>Full 0.65***</b> p_FDR=<.001 | <i>Res. 0.59**</i> p_FDR=0.003
Self/Other,,x3 domain,y3 domain,0.97,0.8,<b>Full 0.59***</b> p_FDR=<.001 | <i>Res. 0.54</i> p_FDR=0.052
Time,,x4 domain,y4 domain,0.97,0.8,<b>Full 0.55*</b> p_FDR=0.028 | <i>Res. 0.52</i> p_FDR=0.202
Confidence,,x5 domain,y5 domain,0.97,0.8,<b>Full 0.64***</b> p_FDR=<.001 | <i>Res. 0.59**</i> p_FDR=0.003
