trace_index,trace_type,trace_name,row_label,col_label,x,y,subject,label,value
0,violin,Permuted,,On/Off-Task,0.3444444444444444,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.7055555555555555,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.6825,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.396,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.486,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.412,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.532,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.436,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.536,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.675,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.65,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.6533333333333334,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.6599999999999999,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.6,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.5626666666666666,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.554,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.5333333333333334,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.3125,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.4096666666666667,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.4859999999999999,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.5875,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.3166666666666666,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.6888888888888889,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.4166666666666667,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.6,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.4666666666666666,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.5458333333333333,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.7222222222222222,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.675,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.578888888888889,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.2833333333333333,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.45,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.5413333333333334,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.596,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.4359999999999999,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.4200000000000001,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.4253333333333333,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.28,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.6958333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.5208333333333333,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.62,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.3924999999999999,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.5349999999999999,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.432,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.568,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.7222222222222223,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.4925,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.3923333333333333,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.534,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.4458333333333333,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.3055555555555555,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.6666666666666667,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.55,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.6,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.5591666666666667,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.2375,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.711111111111111,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.55,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.5177777777777778,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.4800000000000001,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.4599999999999999,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.7706666666666667,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.5900000000000001,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.4959999999999999,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.4586666666666666,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.5546666666666666,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.512,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.2208333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.375,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.5491666666666667,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.4725,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.6174999999999999,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.2733333333333333,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.438,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.4333333333333334,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.39,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.441,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.526,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.5125,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.5111111111111112,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.6333333333333334,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.45,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.5,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.6458333333333333,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.5,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.7,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.475,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.3866666666666666,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.7211111111111113,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.13,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.4546666666666666,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.6479999999999999,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.5940000000000001,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.388,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.536,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.512,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.6125,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.5333333333333333,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.6575,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.2575,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.4775,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.4373333333333334,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.596,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.7333333333333334,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.4625,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.6613333333333334,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.442,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.6166666666666667,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.5277777777777777,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.2888888888888888,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.35,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.45,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.5599999999999999,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.6208333333333333,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.6111111111111112,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.8625,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.5033333333333333,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.6611111111111111,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.6900000000000001,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.6213333333333334,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.7060000000000001,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.4779999999999999,26.2,31,,
