channel,mean_auc,auc_single,n_features,std_auc,perm_p,sig,fwer_threshold,pipeline,dimension
AF3,0.6748049808429117,0.6885632183908046,19,0.1837644978662221,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
AF4,0.6283510536398468,0.6320057471264368,19,0.1656530320266683,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
AF7,0.6627708429118774,0.6599214559386972,19,0.1552093307924783,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
AF8,0.6397494636015326,0.6536283524904213,19,0.1501414975939233,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
AFz,0.6475325862068966,0.6363084291187739,19,0.1519567900276981,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
C1,0.6112411494252874,0.6020727969348659,23,0.1685661277172217,0.0039920159680638,True,0.5814149425287357,ws,On/Off-Task
C2,0.6507977777777778,0.6730670498084289,23,0.1536045639484219,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
C3,0.6442888697318009,0.6433045977011494,19,0.1405575337452144,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
C4,0.6426091187739464,0.6497279693486591,19,0.1427866584556339,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
C5,0.638966724137931,0.6577873563218392,19,0.1722429392033497,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
C6,0.664593582375479,0.6554329501915708,19,0.1809672017381302,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP1,0.649824521072797,0.6573793103448275,19,0.1683932186535015,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP2,0.6548538314176245,0.6553678160919539,19,0.1453651836509167,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP3,0.6542678544061304,0.6593505747126436,19,0.1696743593614821,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP4,0.6739199233716476,0.6746647509578544,19,0.142943823627015,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP5,0.6461413984674329,0.6406072796934867,19,0.1513293264737,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CP6,0.6479384865900383,0.643478927203065,19,0.1401582288031362,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
CPz,0.6638123946360153,0.6607490421455939,23,0.14184444973753,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
Cz,0.6583588888888889,0.6531206896551724,23,0.1312686775460763,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
F1,0.6667847126436782,0.6411015325670498,23,0.1451415460279001,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
F2,0.638576436781609,0.6340498084291187,23,0.1338902778315394,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
F3,0.6751095402298851,0.6733620689655173,19,0.1496632160854212,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
F4,0.6478834482758621,0.6606685823754789,23,0.1457968334123795,0.0019960079840319,True,0.5814149425287357,ws,On/Off-Task
