model_name,dependent_var,predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
group_effect,EVAtense,Intercept,7.704526715431545,0.39658776078216834,19.427041067117976,4.558966119180669e-84,6.927228987589109,8.48182444327398,True,True
group_effect,EVAtense,group[T.Risk of Depression],-2.4830563537623567,0.7418380215187325,-3.3471678206502604,0.000816417689167449,-3.937032158301522,-1.0290805492231914,True,True
group_effect,EVAtense,subject_id Var,3.1711152782741276,0.8893369147798585,3.5657074676351286,0.0003628759632379843,1.4280469551836377,4.914183601364618,True,True
inclusion_exclusion_effect,EVAtense_normalized,Intercept,-0.2257676011507823,0.23169850704151362,-0.9744024855124824,0.3298567358568212,-0.6798883302238491,0.22835312792228454,False,False
inclusion_exclusion_effect,EVAtense_normalized,inclusion_exclusion[T.inclusion],0.411854217223664,0.3092556619895144,1.331759666335966,0.18293917564629558,-0.19427574229087674,1.0179841767382047,False,False
inclusion_exclusion_effect,EVAtense_normalized,subject_id Var,0.16098654810643676,0.21237863151485975,0.75801669385544,0.4484409889716724,-0.25526792074859167,0.5772410169614652,False,False
group_ie_interaction,EVAtense_normalized,Intercept,-0.3100000000000002,0.2738124751591316,-1.1321617096512404,0.25756645482195983,-0.8466625898296662,0.22666258982966586,False,False
group_ie_interaction,EVAtense_normalized,group[T.Risk of Depression],0.31491391492371623,0.5283195170155226,0.596067161596954,0.5511303606300582,-0.7205733107563043,1.3504011406037368,False,False
group_ie_interaction,EVAtense_normalized,inclusion_exclusion[T.inclusion],0.5251081650938557,0.3698257822313732,1.4198798199670504,0.15564267184249983,-0.19973704863398878,1.2499533788217003,False,False
group_ie_interaction,EVAtense_normalized,group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-0.4050220800175719,0.6888406116587092,-0.5879764827487303,0.5565480781037988,-1.7551248699571838,0.94508070992204,False,False
group_ie_interaction,EVAtense_normalized,subject_id Var,0.16841744888311513,0.21825927120540004,0.7716393807831439,0.4403280431604719,-0.259362861971429,0.5961977597376593,False,False
group_effect,EVAfeel,Intercept,7.949767284145009,0.36727101874915574,21.645506664860644,6.700337960642146e-104,7.229929314831329,8.66960525345869,True,True
group_effect,EVAfeel,group[T.Risk of Depression],-2.431613239219338,0.6870029516227631,-3.539450934636667,0.00040096029839258235,-3.778114281672667,-1.0851121967660093,True,True
group_effect,EVAfeel,subject_id Var,3.2970202519520306,0.9235339583190785,3.570004353660073,0.0003569752948508977,1.4869269551469213,5.10711354875714,True,True
inclusion_exclusion_effect,EVAfeel_normalized,Intercept,-0.21288737411959768,0.21980463685938076,-0.9685299507843942,0.3327797683756816,-0.6436965459988893,0.21792179775969384,False,False
inclusion_exclusion_effect,EVAfeel_normalized,inclusion_exclusion[T.inclusion],0.10657875172197065,0.30612071134762103,0.34815923186897074,0.7277206029240935,-0.49340681744114845,0.7065643208850897,False,False
inclusion_exclusion_effect,EVAfeel_normalized,subject_id Var,0.06099674956425211,0.1764483622444769,0.34569178647143495,0.729574357593148,-0.2848356855659997,0.4068291846945039,False,False
group_ie_interaction,EVAfeel_normalized,Intercept,-0.18999999999999975,0.2576296849433848,-0.737492653619295,0.460822809085891,-0.6949449038374349,0.31494490383743545,False,False
group_ie_interaction,EVAfeel_normalized,group[T.Risk of Depression],-0.08796005031373964,0.49750085801156224,-0.17680381630958994,0.8596624913006121,-1.0630438142941767,0.8871237136666975,False,False
group_ie_interaction,EVAfeel_normalized,inclusion_exclusion[T.inclusion],-0.10427295562952932,0.3630186961458359,-0.2872385272069834,0.7739296882176414,-0.815776525790057,0.6072306145309984,False,False
group_ie_interaction,EVAfeel_normalized,group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],0.6988996726099354,0.6766639816023385,1.0328607574987851,0.30166906565052987,-0.627337360966122,2.0251367061859926,False,False
group_ie_interaction,EVAfeel_normalized,subject_id Var,0.06700051665991463,0.18130040358600966,0.3695552537925229,0.7117138965589498,-0.28834174475124075,0.42234277807107,False,False
group_effect,EVAmood,Intercept,7.981572749777348,0.30147995595597094,26.47463817111278,1.8992725181949232e-154,7.390682894042923,8.572462605511772,True,True
group_effect,EVAmood,group[T.Risk of Depression],-2.5569892025881593,0.5639457932344789,-4.534104577538727,5.7848364146503886e-06,-3.66230264656061,-1.4516757586157085,True,True
group_effect,EVAmood,subject_id Var,3.675153442832427,1.0215723780555,3.597545824239938,0.000321233913909073,1.672908374242711,5.677398511422143,True,True
inclusion_exclusion_effect,EVAmood_normalized,Intercept,-0.2878006413986293,0.1273727927063643,-2.2595142595491593,0.023851414318702437,-0.5374467277133894,-0.038154555083869196,True,False
inclusion_exclusion_effect,EVAmood_normalized,inclusion_exclusion[T.inclusion],0.1666397037999387,0.17766032300039836,0.9379680335240922,0.34826083814236475,-0.1815681307625951,0.5148475383624724,False,False
inclusion_exclusion_effect,EVAmood_normalized,subject_id Var,0.06749522363987905,0.20145006655237652,0.33504691656346736,0.737589695163894,-0.32733965148597594,0.462330098765734,False,False
