metric,type,value
auc,true,0.5625151515151515
auc,true,0.5526590909090908
auc,true,0.575388888888889
auc,true,0.5236818181818182
auc,true,0.5742449494949495
auc,true,0.5746969696969697
auc,true,0.5548282828282827
auc,true,0.5728282828282828
auc,true,0.5577222222222222
auc,true,0.5568308080808081
auc,true,0.5415101010101011
auc,true,0.5506035353535353
auc,true,0.5674318181818182
auc,true,0.5660858585858585
auc,true,0.5169570707070708
auc,true,0.5456414141414142
auc,true,0.5669772727272728
auc,true,0.5670530303030303
auc,true,0.5400631313131313
auc,true,0.5182095959595959
auc,true,0.5188131313131314
auc,true,0.599540404040404
auc,true,0.5317121212121212
auc,true,0.572138888888889
auc,true,0.562530303030303
auc,true,0.5803535353535353
auc,true,0.5641717171717172
auc,true,0.562219696969697
auc,true,0.5798358585858586
auc,true,0.5658712121212122
auc,true,0.5332550505050505
auc,true,0.5663156565656565
auc,true,0.5358914141414143
auc,true,0.5645909090909091
auc,true,0.5896641414141415
auc,true,0.5516111111111112
auc,true,0.5625555555555555
auc,true,0.5222020202020201
auc,true,0.5490656565656566
auc,true,0.5976262626262627
auc,true,0.5291035353535353
auc,true,0.5660176767676768
auc,true,0.5952979797979797
auc,true,0.544868686868687
auc,true,0.5204671717171717
auc,true,0.5480782828282827
auc,true,0.5523838383838384
auc,true,0.5694015151515152
auc,true,0.5454191919191917
auc,true,0.5765681818181818
auc,true,0.5154545454545453
auc,true,0.5664444444444445
auc,true,0.5504722222222221
auc,true,0.570909090909091
auc,true,0.5566035353535354
auc,true,0.5376262626262626
auc,true,0.5811010101010102
auc,true,0.5805
auc,true,0.5613636363636364
auc,true,0.5795252525252527
auc,true,0.5525959595959598
auc,true,0.5694015151515152
auc,true,0.53185101010101
auc,true,0.5737222222222222
auc,true,0.5638358585858586
auc,true,0.5497702020202019
auc,true,0.5939040404040403
auc,true,0.5698106060606061
auc,true,0.5352904040404041
auc,true,0.5445000000000001
auc,true,0.5657828282828283
auc,true,0.5350631313131313
auc,true,0.547068181818182
auc,true,0.5592676767676767
auc,true,0.5400555555555555
auc,true,0.6063989898989898
auc,true,0.592820707070707
auc,true,0.5464722222222224
auc,true,0.5274570707070708
auc,true,0.5590656565656565
auc,true,0.5576464646464647
auc,true,0.5816363636363636
auc,true,0.5732727272727272
auc,true,0.544020202020202
auc,true,0.5567954545454546
auc,true,0.4976489898989898
auc,true,0.5512727272727272
auc,true,0.5559090909090909
auc,true,0.5398838383838384
auc,true,0.5606338383838384
auc,true,0.5436186868686869
auc,true,0.5731767676767677
auc,true,0.5697398989898991
auc,true,0.5298005050505051
auc,true,0.5398535353535354
auc,true,0.5574166666666668
auc,true,0.5699469696969698
auc,true,0.5731363636363636
auc,true,0.5806868686868688
auc,true,0.5745303030303032
auc,permuted,0.4862476851851851
auc,permuted,0.4553055555555556
auc,permuted,0.4848842592592592
auc,permuted,0.5492361111111111
auc,permuted,0.5010416666666666
auc,permuted,0.5076319444444445
auc,permuted,0.5166851851851851
auc,permuted,0.4143541666666667
auc,permuted,0.4415185185185186
auc,permuted,0.506662037037037
auc,permuted,0.534050925925926
auc,permuted,0.4935601851851852
auc,permuted,0.5029305555555555
auc,permuted,0.4651643518518518
auc,permuted,0.5466967592592593
auc,permuted,0.4857824074074074
auc,permuted,0.5360439814814815
auc,permuted,0.5450949074074074
auc,permuted,0.4883055555555556
auc,permuted,0.4877222222222222
auc,permuted,0.4865300925925926
auc,permuted,0.4569675925925926
auc,permuted,0.5337152777777777
auc,permuted,0.4637546296296296
auc,permuted,0.4887175925925926
auc,permuted,0.5094699074074075
auc,permuted,0.5098171296296297
auc,permuted,0.5341805555555555
auc,permuted,0.5095300925925926
auc,permuted,0.4704328703703703
auc,permuted,0.4834050925925925
auc,permuted,0.5448263888888889
auc,permuted,0.4559976851851852
auc,permuted,0.5026851851851851
auc,permuted,0.4986111111111111
auc,permuted,0.4624907407407407
auc,permuted,0.4768171296296296
auc,permuted,0.5300185185185186
auc,permuted,0.4974074074074074
auc,permuted,0.5964375000000001
auc,permuted,0.5023356481481481
auc,permuted,0.5004305555555555
auc,permuted,0.5059374999999999
auc,permuted,0.4560972222222222
auc,permuted,0.5388773148148148
auc,permuted,0.4820810185185185
auc,permuted,0.5403217592592592
auc,permuted,0.4866342592592592
auc,permuted,0.5645740740740741
auc,permuted,0.5279444444444444
auc,permuted,0.5091018518518519
auc,permuted,0.4670625
auc,permuted,0.5406041666666667
auc,permuted,0.4582754629629629
auc,permuted,0.4761944444444445
auc,permuted,0.5614768518518519
auc,permuted,0.5032106481481481
auc,permuted,0.5357592592592594
auc,permuted,0.5339467592592593
auc,permuted,0.5070972222222222
auc,permuted,0.4829027777777777
auc,permuted,0.5426412037037037
