perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
4034,57,7,0,0,0.890625,0,False
4035,57,7,0,0,0.890625,0,False
4036,56,7,1,0,0.875,1,False
4037,59,5,0,0,0.921875,0,False
4038,58,6,0,0,0.90625,0,False
4039,60,4,0,0,0.9375,0,False
4040,58,6,0,0,0.90625,0,False
4041,59,5,0,0,0.921875,0,False
4042,58,6,0,0,0.90625,0,False
4043,60,4,0,0,0.9375,0,False
4044,60,4,0,0,0.9375,0,False
4045,57,7,0,0,0.890625,0,False
4046,59,5,0,0,0.921875,0,False
4047,58,6,0,0,0.90625,0,False
4048,56,8,0,0,0.875,0,False
4049,57,7,0,0,0.890625,0,False
4050,61,3,0,0,0.953125,0,False
4051,60,4,0,0,0.9375,0,False
4052,56,8,0,0,0.875,0,False
4053,61,3,0,0,0.953125,0,False
4054,60,4,0,0,0.9375,0,False
4055,58,6,0,0,0.90625,0,False
4056,58,6,0,0,0.90625,0,False
4057,57,7,0,0,0.890625,0,False
4058,57,7,0,0,0.890625,0,False
4059,59,5,0,0,0.921875,0,False
4060,57,7,0,0,0.890625,0,False
4061,58,6,0,0,0.90625,0,False
4062,60,4,0,0,0.9375,0,False
4063,59,5,0,0,0.921875,0,False
4064,59,5,0,0,0.921875,0,False
4065,55,9,0,0,0.859375,0,False
4066,59,5,0,0,0.921875,0,False
4067,57,7,0,0,0.890625,0,False
4068,58,6,0,0,0.90625,0,False
4069,56,8,0,0,0.875,0,False
4070,56,8,0,0,0.875,0,False
4071,59,5,0,0,0.921875,0,False
4072,57,7,0,0,0.890625,0,False
4073,61,3,0,0,0.953125,0,False
4074,59,5,0,0,0.921875,0,False
4075,61,3,0,0,0.953125,0,False
4076,59,5,0,0,0.921875,0,False
4077,60,4,0,0,0.9375,0,False
4078,57,7,0,0,0.890625,0,False
4079,58,6,0,0,0.90625,0,False
4080,57,7,0,0,0.890625,0,False
4081,60,4,0,0,0.9375,0,False
4082,57,7,0,0,0.890625,0,False
4083,57,7,0,0,0.890625,0,False
4084,59,5,0,0,0.921875,0,False
4085,59,5,0,0,0.921875,0,False
4086,59,5,0,0,0.921875,0,False
4087,57,7,0,0,0.890625,0,False
4088,60,4,0,0,0.9375,0,False
4089,59,5,0,0,0.921875,0,False
4090,59,5,0,0,0.921875,0,False
4091,58,6,0,0,0.90625,0,False
4092,57,7,0,0,0.890625,0,False
4093,58,6,0,0,0.90625,0,False
4094,57,7,0,0,0.890625,0,False
4095,60,4,0,0,0.9375,0,False
4096,59,5,0,0,0.921875,0,False
4097,59,5,0,0,0.921875,0,False
4098,56,8,0,0,0.875,0,False
4099,60,4,0,0,0.9375,0,False
4100,59,5,0,0,0.921875,0,False
4101,58,6,0,0,0.90625,0,False
4102,62,2,0,0,0.96875,0,False
4103,57,7,0,0,0.890625,0,False
4104,59,5,0,0,0.921875,0,False
4105,61,3,0,0,0.953125,0,False
4106,59,5,0,0,0.921875,0,False
4107,59,5,0,0,0.921875,0,False
4108,59,5,0,0,0.921875,0,False
4109,60,4,0,0,0.9375,0,False
4110,59,5,0,0,0.921875,0,False
4111,57,7,0,0,0.890625,0,False
4112,58,6,0,0,0.90625,0,False
4113,58,6,0,0,0.90625,0,False
4114,60,4,0,0,0.9375,0,False
4115,58,6,0,0,0.90625,0,False
4116,59,5,0,0,0.921875,0,False
4117,57,7,0,0,0.890625,0,False
4118,58,6,0,0,0.90625,0,False
4119,59,5,0,0,0.921875,0,False
4120,58,6,0,0,0.90625,0,False
