subject,auc,minority_ratio,n_trials
02,0.9,0.47368421052631576,19
03,0.5666666666666667,0.4,20
04,0.7813333333333333,0.48148148148148145,54
05,0.76,0.35135135135135137,37
06,0.24749999999999997,0.45454545454545453,44
08,0.5475,0.47619047619047616,42
10,0.7,0.45454545454545453,11
12,0.7375,0.47368421052631576,38
15,0.3,0.4,15
19,0.4,0.45454545454545453,11
21,0.5,0.3,20
22,0.5333333333333333,0.44,25
24,0.32222222222222224,0.48148148148148145,27
25,0.8,0.4864864864864865,37
26,0.612,0.49019607843137253,51
27,0.4666666666666667,0.45454545454545453,22
28,0.3666666666666667,0.38095238095238093,21
29,0.5741666666666667,0.425,40
30,0.6466666666666667,0.37142857142857144,35
32,0.44833333333333336,0.46153846153846156,39
34,0.5883333333333333,0.425531914893617,47
35,0.75,0.42857142857142855,35
36,0.7222222222222221,0.42424242424242425,33
37,0.7555555555555555,0.41935483870967744,31
38,0.45,0.4117647058823529,34
39,0.5,0.5,10
40,0.7938888888888889,0.40425531914893614,47
42,0.5833333333333333,0.4,20
43,0.615,0.47619047619047616,42
