cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,positive,2,"AF4,Fp2",5.8854071759047475,0.03099380123975205
1,positive,1,CP1,2.9931574636153147,0.09698060387922415
2,positive,1,PO3,2.8917785269197713,0.10677864427114576
