dv,dv_label,total_models_evaluated,base_bic,best_bic,best_n_predictors,best_predictors,bic_improvement
onoff,OnOff,1024,386.04926326608575,386.04926326608575,0,Base Model,0.0
valence,Valence,1024,804.2768672560906,802.5824273140227,1,fne,1.694439942067902
time,Time,762,1031.3337615036198,1030.8909898764284,1,time_on_task,0.44277162719140506
selfother,Self/Other,1024,904.4303639276391,904.4303639276391,0,Base Model,0.0
confidence,Confidence,1024,1067.3262669049482,1067.0820902692046,1,sris,0.24417663574354265
PC1,PC1,1024,861.6792208489883,861.6792208489883,0,Base Model,0.0
PC2,PC2,998,1008.3857107679787,1008.3857107679787,0,Base Model,0.0
PC3,PC3,1019,1049.4435274555576,1049.4435274555576,0,Base Model,0.0
