,Condition,Group,Condition×Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,0.021147980034156792,-0.34202596348853787,-0.14787164519338045,,,,,,,,,,
Valence,0.055869061014513055,-0.1012405687658036,-0.6251147463317193,,,,,-0.30118584050403574,,,,,
Time,-0.10119142352296714,-0.2389150422386287,-0.058813083946604755,,,,,,,,,,-0.11726110628236072
Self/Other,0.10077197820909427,0.22669272097854531,-0.1293235999405628,,,,,,,,,,
Confidence,-0.06828044217945345,-0.7924080263547425,0.7302800630129759,,,,,,,,,0.36457725011212283,
PC1,0.0659835965883724,-0.32459286094842227,-0.1919353605508924,,,,,,,,,,
PC2,0.06858117275650398,0.36628164972557087,-0.17595272945268559,,,,,,,,,,
PC3,-0.07715791325725517,-0.48425657436602715,0.6108709722955281,,,,,,,,,,
