dv,predictor,beta,se,p_value,dataset,analysis_type
onoff,age,0.2065445866467377,0.07740651999367763,0.007623389675476691,complete_ie,complete
onoff,bdi,-0.12062305839255,0.06656625774304387,0.06997459266004126,complete_ie,complete
onoff,rrs_tot,0.267733787688195,0.09571722838148078,0.0051558355440801725,complete_ie,complete
onoff,mwq,-0.23876745552706805,0.0887672207266487,0.007149151000482018,complete_ie,complete
onoff,fne,0.05994265162598751,0.08086871370494111,0.45855148538836865,complete_ie,complete
onoff,self_esteem,0.015135203421899852,0.07972385508021201,0.8494303154315843,complete_ie,complete
onoff,ctq_tot,-0.021622728381590156,0.05458824301723909,0.6920268620267513,complete_ie,complete
onoff,a_rsq,-0.06251400627497633,0.05777287872775394,0.2792236753245345,complete_ie,complete
onoff,sris,0.06644242770905888,0.06330645669945913,0.2939313328009294,complete_ie,complete
onoff,time_on_task,-0.01976944604568501,0.02023000449228515,0.3284533721529612,complete_ie,complete
valence,age,-0.11926652419571415,0.13999268559527345,0.39424281246022086,complete_ie,complete
valence,bdi,0.04737209702181126,0.12140136492815973,0.6963808388092403,complete_ie,complete
valence,rrs_tot,-0.12430834005212846,0.17422233828162673,0.4755339217805705,complete_ie,complete
valence,mwq,0.06247795491945092,0.1614686505081518,0.6988039503256553,complete_ie,complete
valence,fne,-0.25769081820487244,0.14473625920028857,0.07500783000214221,complete_ie,complete
valence,self_esteem,0.08216805201987869,0.14410882931979824,0.568555244447358,complete_ie,complete
valence,ctq_tot,-0.11822286442969841,0.09866520921302338,0.23083044462317115,complete_ie,complete
valence,a_rsq,0.054943147850949815,0.10441283423817414,0.5987418386976464,complete_ie,complete
valence,sris,0.10566534649222871,0.11389248138070593,0.35352999096800297,complete_ie,complete
valence,time_on_task,-0.052817901277711764,0.03426507915856137,0.1232073384450571,complete_ie,complete
time,age,-0.2140532316154058,0.09328664962979885,0.021757481564177845,complete_ie,complete
time,bdi,0.11237630562255668,0.06963866830176367,0.10659130927584773,complete_ie,complete
time,rrs_tot,-0.31494429340811725,0.10855243658607992,0.003716057976476785,complete_ie,complete
time,mwq,0.04686697533190345,0.09898711709862669,0.6358811779479598,complete_ie,complete
time,fne,0.07686618751996543,0.113259814906524,0.4973461453269238,complete_ie,complete
time,self_esteem,-0.07415453675818665,0.0973608102929004,0.44627091368169847,complete_ie,complete
time,ctq_tot,-0.04847320584891305,0.06806646503879822,0.47637487174449,complete_ie,complete
time,a_rsq,-0.032198434958731204,0.07115037521033382,0.6508795648393411,complete_ie,complete
time,sris,-0.08197154089839548,0.08525827713536564,0.3363261290868287,complete_ie,complete
time,time_on_task,-0.12502871033807053,0.04652142832959532,0.007197811380965697,complete_ie,complete
selfother,age,-0.09986267657280704,0.14191243196101005,0.48162445642253915,complete_ie,complete
selfother,bdi,0.004165041028729768,0.11999365540071985,0.9723105798582765,complete_ie,complete
selfother,rrs_tot,-0.15445097934739216,0.17296166437450983,0.3718688978300706,complete_ie,complete
selfother,mwq,0.11600461541840112,0.16098027199284,0.47114712305079465,complete_ie,complete
selfother,fne,-0.17378149948285457,0.14940549471213732,0.24476729577628453,complete_ie,complete
selfother,self_esteem,-0.00933127362663489,0.14562398439214586,0.948908228899705,complete_ie,complete
selfother,ctq_tot,0.11688982124119504,0.09959685786901931,0.2405434165893776,complete_ie,complete
selfother,a_rsq,-0.0619989619442967,0.10512741512162999,0.5553578291586473,complete_ie,complete
selfother,sris,0.0354763611595278,0.11614024486703811,0.7600147684518616,complete_ie,complete
selfother,time_on_task,0.046464122769093806,0.03936260033644692,0.23783601805232224,complete_ie,complete
confidence,age,0.006260978986979476,0.19967254075992968,0.9749854438797296,complete_ie,complete
confidence,bdi,-0.030302427058891843,0.17306792733558954,0.8610090807198632,complete_ie,complete
confidence,rrs_tot,-0.08756224640499419,0.248775483951095,0.7248585324560317,complete_ie,complete
confidence,mwq,0.09579925772869115,0.23035526237893678,0.6775006386206136,complete_ie,complete
confidence,fne,-0.2550930490610346,0.2062980362281257,0.21626281294458072,complete_ie,complete
confidence,self_esteem,-0.15423527933157982,0.20563038821750396,0.4532181287460202,complete_ie,complete
confidence,ctq_tot,-0.07347922787683923,0.1406136938638549,0.6012798091934886,complete_ie,complete
confidence,a_rsq,0.25658602296819477,0.14865802129104003,0.08434465569751808,complete_ie,complete
confidence,sris,0.38112856441713394,0.16190660582204214,0.01857248322980908,complete_ie,complete
confidence,time_on_task,0.007254071610778684,0.04798839590160232,0.879847108281,complete_ie,complete
PC1,age,-0.15658910417453803,0.16944941196222094,0.35543148031547445,complete_ie,complete
PC1,bdi,0.06100251235118643,0.14754306251138782,0.6792728117000837,complete_ie,complete
PC1,rrs_tot,-0.2265009267915614,0.21253637778716702,0.2865573437146579,complete_ie,complete
PC1,mwq,0.09075712630036536,0.19677571151609058,0.6446399259734427,complete_ie,complete
PC1,fne,-0.2729095119932707,0.17189087607677048,0.11235634096095659,complete_ie,complete
PC1,self_esteem,-0.04121479426629645,0.17394410965231125,0.8127012107659005,complete_ie,complete
PC1,ctq_tot,-0.07155315109972545,0.11915525953761766,0.5481707250837786,complete_ie,complete
PC1,a_rsq,0.10802976848667026,0.12583378444146748,0.3906100065582008,complete_ie,complete
PC1,sris,0.21206663884885327,0.13623373263904817,0.11955639758842326,complete_ie,complete
PC1,time_on_task,-0.05969715993464353,0.03664958062923957,0.1033419429516162,complete_ie,complete
PC2,age,0.0045718755960884,0.1328029529151001,0.9725374439152615,complete_ie,complete
PC2,bdi,-0.06938289725194921,0.10846094785895541,0.5223650840717369,complete_ie,complete
PC2,rrs_tot,0.028938412407363442,0.15743198754048432,0.8541583311244507,complete_ie,complete
PC2,mwq,0.10953239135392642,0.14653154922861966,0.4547615627115138,complete_ie,complete
PC2,fne,-0.21282289200010412,0.14575813984036318,0.1442598929115579,complete_ie,complete
PC2,self_esteem,0.047581304731057324,0.13607485277922732,0.7265863101238517,complete_ie,complete
PC2,ctq_tot,0.11768459645886568,0.09322283782966154,0.20680455751205362,complete_ie,complete
PC2,a_rsq,-0.05299157309590851,0.0988357548675355,0.5918494107208627,complete_ie,complete
PC2,sris,0.036451832279258724,0.11256015651692887,0.7460568087560755,complete_ie,complete
PC2,time_on_task,0.10837239330868542,0.045058685907869205,0.016166324756593572,complete_ie,complete
PC3,age,0.19129850659299197,0.1186562854258572,0.10691687937092763,complete_ie,complete
