dv,dv_label,experimental_effect,beta,se,p_value,p_fdr,significant,sig_marker
onoff,OnOff,"C(condition, Treatment('inclusion'))[T.exclusion]",0.021147980034156792,0.05738152503220408,0.7124629233803292,0.739582806121912,False,
onoff,OnOff,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.34202596348853787,0.1308042078542999,0.008928147386373535,0.02857007163639531,True,*
onoff,OnOff,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.14787164519338045,0.07589554896446829,0.05137222795452464,0.11742223532462774,False,
onoff,OnOff,Group Var,0.7110275881009871,0.21733471465133797,0.0010694887858765385,0.006844728229609846,True,**
valence,Valence,"C(condition, Treatment('inclusion'))[T.exclusion]",0.06324176540485398,0.09736146592594043,0.5159787900627522,0.6484396704685966,False,
valence,Valence,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.1812854957408521,0.2316192428383737,0.4338106200225901,0.5784141600301201,False,
valence,Valence,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.6412522804949852,0.12876764558485193,6.361131064372663e-07,2.035561940599252e-05,True,***
valence,Valence,Group Var,0.7961927763687513,0.2500100833466448,0.0014493285486535269,0.007729752259485477,True,**
time,Time,"C(condition, Treatment('inclusion'))[T.exclusion]",0.00800076660017396,0.13232642462213423,0.9517874013094896,0.9517874013094896,False,
time,Time,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.19544678969967325,0.16424901921330967,0.23406922922632967,0.3942218597496079,False,
time,Time,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.1052098702568293,0.17618972870846658,0.5504141577521025,0.6494727651447381,False,
time,Time,Group Var,0.07496652224865566,0.04141686251433199,0.07028829485192314,0.1499483623507694,False,
selfother,Self/Other,"C(condition, Treatment('inclusion'))[T.exclusion]",0.10077197820909427,0.11131744770861549,0.36532411495932915,0.5300056524539244,False,
selfother,Self/Other,"C(group, Treatment('Controls'))[T.Risk of Depression]",0.22669272097854531,0.22709048711828733,0.3181589102316197,0.48481357749580145,False,
selfother,Self/Other,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.1293235999405628,0.14760225731509805,0.3809415627012581,0.5300056524539244,False,
selfother,Self/Other,Group Var,0.523163704089097,0.16702398545275413,0.0017346209726776007,0.007929695875097603,True,**
confidence,Confidence,"C(condition, Treatment('inclusion'))[T.exclusion]",-0.04942115646567208,0.13607916835952216,0.7164708434306022,0.739582806121912,False,
confidence,Confidence,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.6563716807426054,0.3256106603555875,0.04381905862110362,0.10786229814425506,False,
confidence,Confidence,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",0.7101632612120742,0.17974847198928903,7.786686212334247e-05,0.0012458697939734796,True,**
confidence,Confidence,Group Var,0.8035210060002799,0.2607612284273336,0.0020599953127630522,0.008239981251052209,True,**
PC1,PC1,"C(condition, Treatment('inclusion'))[T.exclusion]",0.0659835965883724,0.1042706622986773,0.5268572322557348,0.6484396704685966,False,
PC1,PC1,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.32459286094842227,0.2702880673605002,0.2297843665980348,0.3942218597496079,False,
PC1,PC1,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.1919353605508924,0.137813923405414,0.1637063371776335,0.3081531052755454,False,
PC1,PC1,Group Var,0.9907707504845048,0.29978648274459235,0.000950030520636123,0.006844728229609846,True,**
PC2,PC2,"C(condition, Treatment('inclusion'))[T.exclusion]",0.06858117275650398,0.12780319365556245,0.5915332455494987,0.6527263399166883,False,
PC2,PC2,"C(group, Treatment('Controls'))[T.Risk of Depression]",0.36628164972557087,0.21706714001730132,0.09152419973684772,0.18304839947369544,False,
PC2,PC2,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",-0.17595272945268559,0.17022945232260975,0.3013133980910456,0.482101436945673,False,
PC2,PC2,Group Var,0.29358112366320743,0.10722352230395339,0.006180860758485534,0.021976393807948566,True,*
PC3,PC3,"C(condition, Treatment('inclusion'))[T.exclusion]",-0.07715791325725517,0.13522866029177052,0.5682886695016458,0.6494727651447381,False,
PC3,PC3,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.48425657436602715,0.21805207970374577,0.026362485847538482,0.07029996226010261,False,
PC3,PC3,"C(condition, Treatment('inclusion'))[T.exclusion]:C(group, Treatment('Controls'))[T.Risk of Depression]",0.6108709722955281,0.1789692875331441,0.0006418769250859382,0.006844728229609846,True,**
PC3,PC3,Group Var,0.2501458714354961,0.10023858003932738,0.012577800472047027,0.03658996500959135,True,*
