dv,n_selected_predictors,selected_predictors,bic,aic,loglik,n_obs,n_subjects,converged
onoff,0,,383.8495496365224,363.9677950900327,-176.98389754501636,394,29,True
valence,1,fne,819.5753025369486,795.717197081161,-391.8585985405805,394,29,True
time,1,time_on_task,1025.026400029647,1001.1682945738594,-494.5841472869297,394,29,True
selfother,0,,899.2213381842932,879.3395836378036,-434.6697918189018,394,29,True
confidence,0,,1076.6284010929746,1056.746646546485,-523.3733232732425,394,29,True
PC1,0,,857.6385400959177,837.7567855494281,-413.87839277471403,394,29,True
PC2,0,,1003.4771364768242,983.5953819303345,-486.79769096516725,394,29,True
PC3,0,,1054.9480244157496,1035.06626986926,-512.53313493463,394,29,True
