dv,analysis_type,n_predictors,predictors,bic,aic,loglik,n_obs,n_subjects,converged
onoff,enhanced,1,time_on_task,648.8586586901374,626.0535053606545,-308.02675268032726,707,29,True
valence,enhanced,1,fne,1433.9173904159898,1411.1122370865069,-700.5561185432534,707,29,True
time,enhanced,1,time_on_task,1750.6012968173445,1727.7961434878616,-858.8980717439308,707,29,True
selfother,enhanced,0,,1470.2482184240469,1452.0040957604606,-722.0020478802303,707,29,True
confidence,enhanced,0,,2027.135814286307,2008.8916916227208,-1000.4458458113604,707,29,True
PC1,enhanced,2,"fne, time_on_task",1501.0442317482832,1473.6780477529037,-730.8390238764518,707,29,True
PC2,enhanced,2,"fne, time_on_task",1705.4833733072776,1678.117189311898,-833.058594655949,707,29,True
PC3,enhanced,0,,1854.0453831377797,1835.8012604741934,-913.9006302370967,707,29,True
