dv,predictor,beta,se,p_value,dataset,analysis_type
onoff,age,0.1978606128277258,0.07757225461637977,0.010751849965142208,complete_full,complete
onoff,bdi,-0.08856824111270183,0.0662943693302972,0.18155438274656643,complete_full,complete
onoff,rrs_tot,0.20790423019142687,0.09463377807819881,0.028025110680844192,complete_full,complete
onoff,mwq,-0.22425318594388485,0.08766356815345513,0.010524232758967892,complete_full,complete
onoff,fne,0.08822555834514793,0.08003560594864263,0.27031872651539335,complete_full,complete
onoff,self_esteem,0.06258156303304396,0.07837273222772581,0.42457346276862984,complete_full,complete
onoff,ctq_tot,-0.011363299116715605,0.05416365023384749,0.833827155204905,complete_full,complete
onoff,a_rsq,-0.04315339493702048,0.057443482315643384,0.4525129106136304,complete_full,complete
onoff,sris,0.06813338375021401,0.061709940680009935,0.26955370970384607,complete_full,complete
onoff,time_on_task,-0.051046401008505514,0.014826014940009175,0.0005752373943266408,complete_full,complete
valence,age,-0.12056895582958661,0.1451743563979319,0.40624971346459693,complete_full,complete
valence,bdi,0.020960048959568628,0.12491869533453981,0.8667488609509091,complete_full,complete
valence,rrs_tot,-0.13474391477630634,0.17830621417958628,0.44983611769217513,complete_full,complete
valence,mwq,-0.04146582025367525,0.16484318715636606,0.8013911774341366,complete_full,complete
valence,fne,-0.29249963368174126,0.1479684245624185,0.048067564613570216,complete_full,complete
valence,self_esteem,0.07695892840143469,0.14678142508927358,0.600063134986748,complete_full,complete
valence,ctq_tot,-0.08521386298846474,0.10129918001356268,0.4002304111891374,complete_full,complete
valence,a_rsq,-0.001436063232083562,0.10750505754873489,0.989342095785906,complete_full,complete
valence,sris,0.03423441055482776,0.1151589933798652,0.7662531140856812,complete_full,complete
valence,time_on_task,-0.04133350082023816,0.02591389930319378,0.11070506123413315,complete_full,complete
time,age,-0.2211989098160778,0.07938422040211449,0.005329142960501172,complete_full,complete
time,bdi,0.10068162852520099,0.060228476310777955,0.0945910786829383,complete_full,complete
time,rrs_tot,-0.2523832604479103,0.09103349598881975,0.005564086461865123,complete_full,complete
time,mwq,-0.0072346137930298345,0.08238800848380361,0.9300265052497285,complete_full,complete
time,fne,0.12387295977145979,0.09766057665600598,0.2046541024217201,complete_full,complete
time,self_esteem,-0.003914681787305028,0.08057162523960061,0.9612489422721722,complete_full,complete
time,ctq_tot,-0.03255769921807288,0.05800808640197405,0.5746193580869543,complete_full,complete
time,a_rsq,-0.024398277028341218,0.06221735706921388,0.6949504675869866,complete_full,complete
time,sris,-0.003229187201459252,0.07230747783141775,0.9643790311138433,complete_full,complete
time,time_on_task,-0.11050680967192632,0.03292123865538987,0.0007887788742270211,complete_full,complete
selfother,age,-0.11267778996625245,0.13416159987089102,0.400983423710916,complete_full,complete
selfother,bdi,0.013564165655660196,0.11371886876450185,0.9050550677368929,complete_full,complete
selfother,rrs_tot,-0.2170388052028518,0.16247096960140642,0.18159436167050647,complete_full,complete
selfother,mwq,0.07926375483076263,0.15073548190331973,0.5989947284629531,complete_full,complete
selfother,fne,-0.16000933894557898,0.139334813140574,0.250811648723155,complete_full,complete
selfother,self_esteem,-0.005980449119452806,0.13567855232408468,0.9648421710899537,complete_full,complete
selfother,ctq_tot,0.08345224526954541,0.09360089276887887,0.37262060722080836,complete_full,complete
selfother,a_rsq,-0.08115279771327234,0.09902324054629694,0.412482472412678,complete_full,complete
selfother,sris,0.003790970376883829,0.10671588045648243,0.9716619432936212,complete_full,complete
selfother,time_on_task,0.03798269804247768,0.026661062941144176,0.15425823935748048,complete_full,complete
confidence,age,0.059139684744991705,0.20169473101060495,0.7693587129642258,complete_full,complete
confidence,bdi,0.0355087590431245,0.17252932992822764,0.8369370763322346,complete_full,complete
confidence,rrs_tot,-0.027819692657063102,0.24604573641607397,0.9099773104854975,complete_full,complete
confidence,mwq,-0.11422380111372778,0.22772566891053256,0.6159594066071619,complete_full,complete
confidence,fne,-0.20182543111583648,0.21067000192046828,0.3380542152906211,complete_full,complete
confidence,self_esteem,-0.16579858111688783,0.2046662611580938,0.4178870764053536,complete_full,complete
confidence,ctq_tot,-0.13501318946308263,0.14116344118574983,0.33885417762809533,complete_full,complete
confidence,a_rsq,0.1646354336483413,0.14984062584176483,0.27188281645124235,complete_full,complete
