,Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,0.0013603626358567123,,,,,,,,,,0.0008658421872524606
Valence,0.09015535380526146,,,,,0.00017172151723498632,,,,,
Time,0.13396928512643952,,,,,,,,,,0.0006969177006194715
Self/Other,0.4570937436718234,,,,,,,,,,
Confidence,0.2932584131830792,,,,,,,,,,
PC1,0.24881480656263677,,,,,0.004048824413972634,,,,,0.00346756913135896
PC2,0.061788983447188056,,,,,0.0027295990872248637,,,,,0.0004809397789782468
PC3,0.26141894305899016,,,,,,,,,,
