dv,predictor,beta,se,p_value,dataset,analysis_type
onoff,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",0.021147980034156792,0.05738152503220408,0.7124629233803292,enhanced_ie,enhanced
onoff,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.34202596348853787,0.1308042078542999,0.008928147386373535,enhanced_ie,enhanced
onoff,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.14787164519338045,0.07589554896446829,0.05137222795452464,enhanced_ie,enhanced
onoff,Group Var,0.7110275881009871,0.21733471465133797,0.0010694887858765385,enhanced_ie,enhanced
valence,fne,-0.30118584050403574,0.10170707075638231,0.003063366165813658,enhanced_ie,enhanced
valence,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",0.055869061014513055,0.09696528029166392,0.5644962696309496,enhanced_ie,enhanced
valence,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.1012405687658036,0.2071550620698405,0.6250408077080385,enhanced_ie,enhanced
valence,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.6251147463317193,0.1284505320175486,1.1354616922572675e-06,enhanced_ie,enhanced
valence,Group Var,0.5848705357550302,0.18935414664299186,0.002009900857056347,enhanced_ie,enhanced
time,time_on_task,-0.11726110628236072,0.046105700276205745,0.010980763809679503,enhanced_ie,enhanced
time,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",-0.10119142352296714,0.13807746802551657,0.46364395303939476,enhanced_ie,enhanced
time,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.2389150422386287,0.16531022553840216,0.14838693136187833,enhanced_ie,enhanced
time,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.058813083946604755,0.17590734874168915,0.7381220619321194,enhanced_ie,enhanced
time,Group Var,0.07909610214213837,0.04263762536262045,0.06358515133261285,enhanced_ie,enhanced
selfother,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",0.10077197820909427,0.11131744770861549,0.36532411495932915,enhanced_ie,enhanced
selfother,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.22669272097854531,0.22709048711828733,0.3181589102316197,enhanced_ie,enhanced
selfother,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.1293235999405628,0.14760225731509805,0.3809415627012581,enhanced_ie,enhanced
selfother,Group Var,0.523163704089097,0.16702398545275413,0.0017346209726776007,enhanced_ie,enhanced
confidence,sris,0.36457725011212283,0.14031530466098857,0.009369439381869044,enhanced_ie,enhanced
confidence,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",-0.06828044217945345,0.13568465990769651,0.614803348082798,enhanced_ie,enhanced
confidence,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.7924080263547425,0.3016560526481788,0.008617694291280774,enhanced_ie,enhanced
confidence,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.7302800630129759,0.17932806134221854,4.6548493282734926e-05,enhanced_ie,enhanced
confidence,Group Var,0.6440687424037467,0.2091322496247752,0.0020719538105439354,enhanced_ie,enhanced
PC1,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",0.0659835965883724,0.1042706622986773,0.5268572322557348,enhanced_ie,enhanced
PC1,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.32459286094842227,0.2702880673605002,0.2297843665980348,enhanced_ie,enhanced
PC1,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.1919353605508924,0.137813923405414,0.1637063371776335,enhanced_ie,enhanced
PC1,Group Var,0.9907707504845048,0.29978648274459235,0.000950030520636123,enhanced_ie,enhanced
PC2,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",0.06858117275650398,0.12780319365556245,0.5915332455494987,enhanced_ie,enhanced
PC2,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.36628164972557087,0.21706714001730132,0.09152419973684772,enhanced_ie,enhanced
PC2,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.17595272945268559,0.17022945232260975,0.3013133980910456,enhanced_ie,enhanced
PC2,Group Var,0.29358112366320743,0.10722352230395339,0.006180860758485534,enhanced_ie,enhanced
PC3,"C(condition, Treatment(reference='inclusion'))[T.exclusion]",-0.07715791325725517,0.13522866029177052,0.5682886695016458,enhanced_ie,enhanced
PC3,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.48425657436602715,0.21805207970374577,0.026362485847538482,enhanced_ie,enhanced
PC3,"C(condition, Treatment(reference='inclusion'))[T.exclusion]:C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.6108709722955281,0.1789692875331441,0.0006418769250859382,enhanced_ie,enhanced
PC3,Group Var,0.2501458714354961,0.10023858003932738,0.012577800472047027,enhanced_ie,enhanced
