dv,n_selected_predictors,selected_predictors,bic,aic,loglik,n_obs,n_subjects,converged
onoff,0,,650.9047859091452,628.0996325796623,-309.04981628983114,707,29,True
valence,1,fne,1439.2634727611123,1411.8972887657328,-699.9486443828664,707,29,True
time,1,time_on_task,1757.1322525184835,1729.766068523104,-858.883034261552,707,29,True
selfother,0,,1476.8079900072844,1454.0028366778015,-722.0014183389007,707,29,True
confidence,0,,2033.016441633039,2010.211288303556,-1000.105644151778,707,29,True
PC1,2,"fne, time_on_task",1507.0939953136087,1475.1667806523328,-730.5833903261664,707,29,True
PC2,2,"time_on_task, fne",1711.8552105933834,1679.9279959321075,-832.9639979660537,707,29,True
PC3,0,,1860.5956519674955,1837.7904986380127,-913.8952493190063,707,29,True
