dv,analysis_type,n_predictors,predictors,bic,aic,loglik,n_obs,n_subjects,converged
onoff,enhanced,0,,386.04926326608575,362.19115781029814,-175.09557890514907,394,29,True
valence,enhanced,1,fne,802.5824273140227,774.7479709489371,-380.37398547446855,394,29,True
time,enhanced,1,time_on_task,1030.8909898764284,1003.0565335113429,-494.52826675567144,394,29,True
selfother,enhanced,0,,904.4303639276391,880.5722584718515,-434.2861292359257,394,29,True
confidence,enhanced,1,sris,1067.0820902692046,1039.247633904119,-512.6238169520595,394,29,True
PC1,enhanced,0,,861.6792208489883,837.8211153932007,-412.91055769660034,394,29,True
PC2,enhanced,0,,1008.3857107679787,984.5276053121911,-486.26380265609555,394,29,True
PC3,enhanced,0,,1049.4435274555576,1025.58542199977,-506.792710999885,394,29,True
