,Condition,Group,Condition×Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,0.7124629233803292,0.008928147386373535,0.05137222795452464,,,,,,,,,,
Valence,0.5644962696309496,0.6250408077080385,1.1354616922572675e-06,,,,,0.003063366165813658,,,,,
Time,0.46364395303939476,0.14838693136187833,0.7381220619321194,,,,,,,,,,0.010980763809679503
Self/Other,0.36532411495932915,0.3181589102316197,0.3809415627012581,,,,,,,,,,
Confidence,0.614803348082798,0.008617694291280774,4.6548493282734926e-05,,,,,,,,,0.009369439381869044,
PC1,0.5268572322557348,0.2297843665980348,0.1637063371776335,,,,,,,,,,
PC2,0.5915332455494987,0.09152419973684772,0.3013133980910456,,,,,,,,,,
PC3,0.5682886695016458,0.026362485847538482,0.0006418769250859382,,,,,,,,,,
