dv,predictor,beta,se,p_value,dataset,analysis_type
onoff,time_on_task,-0.0494102655895758,0.014834173706079354,0.0008658421872524606,enhanced_full,enhanced
onoff,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.39142831796264604,0.12220938838077397,0.0013603626358567123,enhanced_full,enhanced
onoff,Group Var,0.6885457739815585,0.20276514720722216,0.0006843341073565855,enhanced_full,enhanced
valence,fne,-0.3898786294843306,0.10376422756269967,0.00017172151723498632,enhanced_full,enhanced
valence,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.339881016188805,0.20056961562913758,0.09015535380526146,enhanced_full,enhanced
valence,Group Var,0.5829689350474755,0.18196204647911296,0.0013562942532715802,enhanced_full,enhanced
time,time_on_task,-0.11112872316795648,0.03277370779243643,0.0006969177006194715,enhanced_full,enhanced
time,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.1792215709052291,0.11959016225413711,0.13396928512643952,enhanced_full,enhanced
time,Group Var,0.0885032617332771,0.038559940995362495,0.021720944483137015,enhanced_full,enhanced
selfother,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.15340139914619497,0.20628423761729456,0.4570937436718234,enhanced_full,enhanced
selfother,Group Var,0.5956265139284127,0.1775765108609477,0.0007959581243994667,enhanced_full,enhanced
confidence,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.3136743374657818,0.2984531138632583,0.2932584131830792,enhanced_full,enhanced
confidence,Group Var,0.5545537634825499,0.1790953915542842,0.0019587561743258223,enhanced_full,enhanced
PC1,fne,-0.35241489034241885,0.12260755771469008,0.004048824413972634,enhanced_full,enhanced
PC1,time_on_task,-0.07869712634347081,0.026924074679504046,0.00346756913135896,enhanced_full,enhanced
PC1,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.2764098728618059,0.23968261305108396,0.24881480656263677,enhanced_full,enhanced
PC1,Group Var,0.7953762900184065,0.2356106441803528,0.0007359926980886644,enhanced_full,enhanced
PC2,fne,-0.2838945364508315,0.09473716084135828,0.0027295990872248637,enhanced_full,enhanced
PC2,time_on_task,0.10974108724170659,0.03143404779449808,0.0004809397789782468,enhanced_full,enhanced
PC2,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",0.33138691902989,0.17742032593041737,0.061788983447188056,enhanced_full,enhanced
PC2,Group Var,0.2760357391522609,0.09425123953975413,0.0034035798206031908,enhanced_full,enhanced
PC3,"C(group, Treatment(reference='Controls'))[T.Risk of Depression]",-0.21236817302867436,0.1891005457067615,0.26141894305899016,enhanced_full,enhanced
PC3,Group Var,0.24578870585708087,0.08860078054831949,0.005535220069513067,enhanced_full,enhanced
