,Age,BDI,RRS
OnOff,0.3490689893992993,0.26182453402994466,0.661594401278744
Valence,0.7257502860722205,0.5490349358111402,0.019522037813944734
Time,0.13782720319961175,0.9892316259152376,0.5114527961427513
