dv,dv_label,total_models_evaluated,base_bic,best_bic,best_n_predictors,best_predictors,bic_improvement
onoff,OnOff,1024,653.2891804642911,648.8586586901374,1,time_on_task,4.4305217741537035
valence,Valence,1024,1438.7543424838848,1433.9173904159898,1,fne,4.836952067895027
time,Time,982,1755.444555547943,1750.6012968173445,1,time_on_task,4.8432587305985635
selfother,Self/Other,1024,1470.2482184240469,1470.2482184240469,0,Base Model,0.0
confidence,Confidence,1024,2027.135814286307,2027.135814286307,0,Base Model,0.0
PC1,PC1,1024,1504.2930905786804,1501.0442317482832,2,"fne, time_on_task",3.248858830397239
PC2,PC2,1024,1711.6229824894215,1705.4833733072776,2,"fne, time_on_task",6.139609182143886
PC3,PC3,1024,1854.0453831377797,1854.0453831377797,0,Base Model,0.0
