dv,predictor,beta,se,p_value,dataset
valence,fne,-0.38934446055166133,0.10368867234453517,0.00017338489586572978,full
time,time_on_task,-0.11297850123156258,0.03446433766032608,0.0010449809596416572,full
PC1,fne,-0.3527556252673264,0.12253023248862334,0.003990303711764501,full
PC1,time_on_task,-0.07256877774602712,0.02824745991104264,0.010198148396990882,full
PC2,time_on_task,0.11413293029701983,0.03301283419401922,0.0005457607014528022,full
PC2,fne,-0.28436910574329016,0.09453300275682634,0.002628465392256164,full
