,Condition,Group,Condition×Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,0.8611292154464599,0.12919973934366655,0.05084075578147105,0.007623389675476691,0.06997459266004126,0.0051558355440801725,0.007149151000482018,0.45855148538836865,0.8494303154315843,0.6920268620267513,0.2792236753245345,0.2939313328009294,0.3284533721529612
Valence,0.9837735578595137,0.7337719822325012,2.5839110640524583e-06,0.39424281246022086,0.6963808388092403,0.4755339217805705,0.6988039503256553,0.07500783000214221,0.568555244447358,0.23083044462317115,0.5987418386976464,0.35352999096800297,0.1232073384450571
Time,0.39361158147890396,0.7732926600550241,0.7340776142517058,0.021757481564177845,0.10659130927584773,0.003716057976476785,0.6358811779479598,0.4973461453269238,0.44627091368169847,0.47637487174449,0.6508795648393411,0.3363261290868287,0.007197811380965697
Self/Other,0.28737323250822944,0.21190688209897057,0.40202886381205216,0.48162445642253915,0.9723105798582765,0.3718688978300706,0.47114712305079465,0.24476729577628453,0.948908228899705,0.2405434165893776,0.5553578291586473,0.7600147684518616,0.23783601805232224
Confidence,0.5981699389341525,0.024863104746378453,3.145274924410067e-05,0.9749854438797296,0.8610090807198632,0.7248585324560317,0.6775006386206136,0.21626281294458072,0.4532181287460202,0.6012798091934886,0.08434465569751808,0.01857248322980908,0.879847108281
PC1,0.9036960477450222,0.38119605476669416,0.286884882950725,0.35543148031547445,0.6792728117000837,0.2865573437146579,0.6446399259734427,0.11235634096095659,0.8127012107659005,0.5481707250837786,0.3906100065582008,0.11955639758842326,0.1033419429516162
PC2,0.25007447860114707,0.10989876823616114,0.2594263429084994,0.9725374439152615,0.5223650840717369,0.8541583311244507,0.4547615627115138,0.1442598929115579,0.7265863101238517,0.20680455751205362,0.5918494107208627,0.7460568087560755,0.016166324756593572
PC3,0.9026109196360161,0.001350830177968498,0.0004194679397627806,0.10691687937092763,0.511481131792679,0.25781736815473855,0.9610151608612144,0.68051810863784,0.8233391984242736,0.46260453167001414,0.029374954335533547,0.01187081364801499,0.06514819717850917
