,Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,0.08415172874425944,0.010751849965142208,0.18155438274656643,0.028025110680844192,0.010524232758967892,0.27031872651539335,0.42457346276862984,0.833827155204905,0.4525129106136304,0.26955370970384607,0.0005752373943266408
Valence,0.7077041547676489,0.40624971346459693,0.8667488609509091,0.44983611769217513,0.8013911774341366,0.048067564613570216,0.600063134986748,0.4002304111891374,0.989342095785906,0.7662531140856812,0.11070506123413315
Time,0.8241662670210264,0.005329142960501172,0.0945910786829383,0.005564086461865123,0.9300265052497285,0.2046541024217201,0.9612489422721722,0.5746193580869543,0.6949504675869866,0.9643790311138433,0.0007887788742270211
Self/Other,0.1169536076478752,0.400983423710916,0.9050550677368929,0.18159436167050647,0.5989947284629531,0.250811648723155,0.9648421710899537,0.37262060722080836,0.412482472412678,0.9716619432936212,0.15425823935748048
Confidence,0.2583025410598041,0.7693587129642258,0.8369370763322346,0.9099773104854975,0.6159594066071619,0.3380542152906211,0.4178870764053536,0.33885417762809533,0.27188281645124235,0.05643820627013418,0.10520733132812882
PC1,0.7620997267626575,0.3710049809026498,0.6444913104030291,0.3141212560618536,0.7443420501953986,0.10663106692659499,0.8902712793469689,0.49519668617084445,0.7316579595469641,0.23151148375026498,0.0031517392502245865
PC2,0.10210629513581548,0.9708186038694339,0.5621345104660213,0.6038610894069005,0.4266182944707322,0.10114818033934657,0.9625552977976426,0.2975155752188655,0.40864132502671646,0.6717703004406601,0.0005085184377632317
PC3,0.024379479877893087,0.03305191122924084,0.8007981783200907,0.1395701237126446,0.3993632571924368,0.7169626666464003,0.7661814459687941,0.2521382340472592,0.16719758265924467,0.11176103392427117,0.4614121186646084
