,Group,Age,BDI,RRS,MWQ,FNE,Self-Est.,CTQ,ARSQ,SRIS,Time-on-Task
OnOff,-0.39142831796264604,,,,,,,,,,-0.0494102655895758
Valence,-0.339881016188805,,,,,-0.3898786294843306,,,,,
Time,-0.1792215709052291,,,,,,,,,,-0.11112872316795648
Self/Other,0.15340139914619497,,,,,,,,,,
Confidence,-0.3136743374657818,,,,,,,,,,
PC1,-0.2764098728618059,,,,,-0.35241489034241885,,,,,-0.07869712634347081
PC2,0.33138691902989,,,,,-0.2838945364508315,,,,,0.10974108724170659
PC3,-0.21236817302867436,,,,,,,,,,
