fpr,true_mean_tpr,true_std_tpr,perm_mean_tpr,perm_std_tpr
0.0,0.0,0.0,0.0,0.0
0.005025125628140704,0.030140838543441673,0.0274169959931218,0.23282954773872366,0.31962385395853077
0.010050251256281407,0.030140838543441673,0.0274169959931218,0.23321409547738375,0.3193557273239811
0.01507537688442211,0.041995134401153426,0.03233467374105843,0.23359864321611484,0.31909314037377823
0.020100502512562814,0.049075348304896765,0.03348794409301072,0.23398319095477074,0.318836106795039
0.02512562814070352,0.049075348304896765,0.03348794409301072,0.2343677386934877,0.3185846400288075
0.03015075376884422,0.05970728374732866,0.03802678088160633,0.2347522864321981,0.31833875326786976
0.035175879396984924,0.06696040317691868,0.03964312696259392,0.23513683417085374,0.3180984594516372
0.04020100502512563,0.06972752646458992,0.040203405628822776,0.23552138190956987,0.31786377126442406
0.04522613065326633,0.07673946167345605,0.04217877372886488,0.23590592964824442,0.31763470113170705
0.05025125628140704,0.08480006773406203,0.0437725135162208,0.23629047738696166,0.31741126121682717
0.05527638190954774,0.08734801293954145,0.04350714454058832,0.2366750251256166,0.31719346341799665
0.06030150753768844,0.09415704959768302,0.04535275990466467,0.23705957286432786,0.31698131936532614
0.06532663316582915,0.10136471448181847,0.04633943275976879,0.23744412060304423,0.31677484041754145
0.07035175879396985,0.10847053143635495,0.048169084763832345,0.2378286683416994,0.3165740376599641
0.07537688442211056,0.11252935496576676,0.04950699797966604,0.23821321608043183,0.316378921899843
0.08040201005025126,0.12366558430183486,0.05095374122606652,0.2385977638190909,0.31618950366571313
0.08542713567839195,0.12676703357719715,0.051625578462733454,0.23898231155780214,0.3160057932031412
0.09045226130653267,0.12923762181249127,0.05140602934988328,0.23936685929651474,0.31582780047212633
0.09547738693467336,0.14090671809359412,0.054870225797987164,0.23975140703517359,0.31565553514500455
0.10050251256281408,0.14429802244142026,0.05447275572313801,0.2401359547739062,0.3154890066039847
0.10552763819095477,0.14753331655906737,0.05524973001169514,0.24052050251256074,0.3153282239382041
0.11055276381909548,0.15856298471524635,0.05748885556754734,0.2409050502512762,0.3151731959407136
0.11557788944723618,0.16134559341089855,0.05826160186712423,0.24128959798998909,0.31502393110791616
0.12060301507537688,0.16797129848744966,0.0579654535218833,0.24167414572864374,0.3148804376353204
0.12562814070351758,0.17829106908343495,0.059108862365885334,0.24205869346736175,0.31474272341677406
0.1306532663316583,0.17829106908343495,0.059108862365885334,0.2424432412060348,0.3146107960413808
0.135678391959799,0.1852878458763438,0.05957848233409393,0.24282778894474671,0.31448466279194387
0.1407035175879397,0.19641866816573375,0.06207694288167334,0.24321233668340578,0.3143643306428725
0.1457286432160804,0.19641866816573375,0.06207694288167334,0.243596884422118,0.3142498062584281
0.15075376884422112,0.20489328540989174,0.06265932086381035,0.24398143216083618,0.31414109598997236
0.15577889447236182,0.21572320868354905,0.06405627209229937,0.24436597989949035,0.31403820587615283
0.16080402010050251,0.21818896210820662,0.06419438663633706,0.24475052763822217,0.313941141638884
0.1658291457286432,0.22180660916703018,0.06416364515410869,0.2451350753768797,0.31384990868387996
0.1708542713567839,0.23226460343192976,0.06591794448606213,0.24551962311559342,0.31376451209736295
0.17587939698492464,0.23494953493877904,0.06652873367474625,0.24590417085430702,0.3136849566463183
0.18090452261306533,0.2418719560811491,0.06654967086993696,0.24628871859296456,0.313611246775827
0.18592964824120603,0.24987552114353773,0.06778015468924516,0.2466732663316966,0.313543386608513
0.19095477386934673,0.25313579511614054,0.0680877087459369,0.24705781407034988,0.3134813799435109
0.19597989949748745,0.25996912844947395,0.06803112802558885,0.24744236180906787,0.31342523025458335
0.20100502512562815,0.2717833545134985,0.06925350274843789,0.29131857621445373,0.3224131366184504
0.20603015075376885,0.2744598251017339,0.06886785072067411,0.2917031239531104,0.3223180711907785
0.21105527638190955,0.2775612743770962,0.06865227660942556,0.29208767169181454,0.32222868660589526
0.21608040201005024,0.2880030728991672,0.07081220417843824,0.2924722194304868,0.32214498759250904
0.22110552763819097,0.29160091505110347,0.06986464940833986,0.29285676716920545,0.3220669785833383
0.22613065326633167,0.29581342045964665,0.06976341701573688,0.293241314907867,0.32199466371390645
0.23115577889447236,0.30622752759827476,0.07169789453189777,0.2936258626465852,0.321928046821512
0.23618090452261306,0.3133952759735699,0.07075481874460252,0.2940104103852879,0.3218671314439278
0.24120603015075376,0.31674734858481307,0.07044998879701006,0.294394958123945,0.3218119208191634
