predictor,estimate,std_error,z_value,p_value,conf_lower,conf_upper,t_value,p_fdr,significant_fdr,converged,conv_message,singular,re_sd,max_grad,dispersion,n_obs
Intercept,-5.02061404054381,0.269251423990985,-18.6465644865519,1.3465686500923499e-77,-5.54834683156614,-4.49288124952148,-18.6465644865519,,,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
onoff,-0.688219034278364,0.0927379327826062,-7.42111683567143,1.16136808568213e-13,-0.869985382532272,-0.506452686024456,-7.42111683567143,6.96820851409278e-13,True,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
valence,-0.0440034768071996,0.088893924698291,-0.495011070290224,0.62059230618567,-0.21823556921585,0.130228615601451,-0.495011070290224,0.62059230618567,False,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
selfother,-0.0421359594956734,0.0715000449400043,-0.589313748418335,0.555650823800838,-0.182276047578082,0.098004128586735,-0.589313748418335,0.62059230618567,False,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
time,0.080381583853772,0.0644198622359493,1.24777640100129,0.212112953217294,-0.0458813461286886,0.206644513836233,1.24777640100129,0.31816942982594104,False,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
confidence,-0.13419551157062,0.0667124504265217,-2.01155122788399,0.0442672650487838,-0.264951914406602,-0.0034391087346372,-2.01155122788399,0.1071345089777298,False,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
time_on_task,0.116082065462214,0.0601361907396171,1.93031956355262,0.0535672544888649,-0.001784868387435,0.233948999311864,1.93031956355262,0.1071345089777298,False,True,nan,False,obs_id=1.1757; subject=1.5607,4.98198460263666e-05,0.279875465102128,2460
