marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-0.00014655532697775136,0.002609089578090338,-0.05617105990090961,0.9552055356046921,2460,42,True,0.969068476512044,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-0.0005231157179556994,0.0024233810302365516,-0.21586193480462995,0.8290953691851204,2460,42,True,0.9468098508143,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-0.008469683397561538,0.002542147854854355,-3.3317036935472752,0.0008631610602424109,2460,42,True,0.007193008835353424,True,Omission Rate,Time
omission_rate,confidence,onoff:confidence,0.003038353047237176,0.0026052138164252983,1.1662586111285878,0.24350990175550524,2460,42,True,0.7609684429859539,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-0.008130227608920754,0.002006251310273963,-4.05244725189016,5.068465378209794e-05,2460,42,True,0.001246905038000773,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,0.0045807839130346,0.011298307121769553,0.4054398471969624,0.6851542258977523,1613,42,True,0.9468098508143,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,0.006362678846867527,0.010245858532440092,0.6210000681467763,0.5345995783401641,1613,42,True,0.9468098508143,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,0.00930920458950029,0.01063539206389327,0.875304317280852,0.38140834567632287,1613,42,True,0.9468098508143,False,Commission Rate,Time
commission_rate,confidence,onoff:confidence,0.0005892038409193826,0.011658523470786995,0.05053846161529484,0.9596933006130219,1613,42,True,0.969068476512044,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,0.005248846019982962,0.009338354523466414,0.5620739721107291,0.57406562098323,1613,42,True,0.9468098508143,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,9.821130150651753e-05,0.0025327445619046695,0.0387766310838156,0.969068476512044,2460,42,True,0.969068476512044,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,-0.0005501807678070649,0.002351859068447554,-0.23393441179714713,0.8150358975628942,2460,42,True,0.9468098508143,False,Total Errors,Self/Other
total_errors,time,onoff:time,-0.007394883302872636,0.002471214403761954,-2.9924086277642816,0.0027678550857315617,2460,42,True,0.01729909428582226,True,Total Errors,Time
total_errors,confidence,onoff:confidence,0.003196705637482218,0.0025283240590968843,1.2643575596967103,0.20610171851976755,2460,42,True,0.7360775661420269,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-0.007582287819662036,0.001948576476096181,-3.8911933468747146,9.975240304006185e-05,2460,42,True,0.001246905038000773,True,Total Errors,Time on Task
rtcv,valence,onoff:valence,-0.002588626017052529,0.0036062437859430974,-0.717817810083396,0.4728696303774248,2444,42,True,0.9468098508143,False,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-0.005161262594020274,0.003302481403301519,-1.5628438024996947,0.11808933854690185,2444,42,True,0.5904466927345092,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,0.0018655448438791157,0.0034627964461071913,0.5387393896561045,0.59006669044724,2444,42,True,0.9468098508143,False,RTCV (RT Variability),Time
rtcv,confidence,onoff:confidence,0.005324404789045683,0.0036391587019468656,1.463086725565788,0.14344364967597603,2444,42,True,0.5976818736499001,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-0.0013849784549481484,0.0028322487444978717,-0.48900311374087685,0.6248394924169656,2444,42,True,0.9468098508143,False,RTCV (RT Variability),Time on Task
total_errors_legacy,valence,onoff:valence,0.005047651877288224,0.011932009006512072,0.42303453463146,0.6722700646998665,1613,42,True,0.9468098508143,False,Total Errors (legacy sum-of-rates),Valence
total_errors_legacy,selfother,onoff:selfother,0.007606840466811344,0.010820684060150947,0.7029907189347537,0.4820615334073318,1613,42,True,0.9468098508143,False,Total Errors (legacy sum-of-rates),Self/Other
total_errors_legacy,time,onoff:time,0.002401217255397931,0.011401323515205824,0.21060864137356097,0.833192668716584,1613,42,True,0.9468098508143,False,Total Errors (legacy sum-of-rates),Time
total_errors_legacy,confidence,onoff:confidence,0.003658345524161371,0.012114834835503139,0.3019723812858268,0.7626731172421727,1613,42,True,0.9468098508143,False,Total Errors (legacy sum-of-rates),Confidence
total_errors_legacy,time_on_task,onoff:time_on_task,-0.002835006060444013,0.009625356870664237,-0.29453516358280973,0.7683489977424359,1613,42,True,0.9468098508143,False,Total Errors (legacy sum-of-rates),Time on Task
