Marker Type,Marker Name,N Subjects,N Observations,N Channels,Total Clusters,Sig Clusters (uncorr),Sig Clusters (corr),In Correction Family,Marker p (uncorr),Marker p (corr),Marker Rejected,Correction Method,Correction Unit,Correction Family Size,T-stat Min,T-stat Max,T-stat Mean (abs),Predictor,Threshold,N Permutations,Analysis Date
evoked,evoked/N1,26,1507,64,1,0,0,True,0.0643871225754849,0.20262614143837898,False,fdr_bh,marker,4,-0.352878204183618,2.5966574343474433,1.4390577793489712,confidence,1.959963984540054,5000,2026-08-14T00:52:40.864510
evoked,evoked/P1,26,1507,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,4,-0.038879916609845765,1.7445844531428683,0.9351842568472595,confidence,1.959963984540054,5000,2026-08-14T01:02:06.820856
evoked,evoked/P3a,26,1507,64,1,0,0,True,0.11017796440711858,0.20262614143837898,False,fdr_bh,marker,4,-2.507107142851181,0.7515065617507787,0.8074422868652611,confidence,1.959963984540054,5000,2026-08-14T00:57:39.176414
evoked,evoked/P3b,26,1507,64,1,0,0,True,0.15196960607878424,0.20262614143837898,False,fdr_bh,marker,4,-2.317050939219581,0.8965694132565919,0.7309478910262218,confidence,1.959963984540054,5000,2026-08-14T01:01:28.882380
sleep,sleep/PE_alpha,26,1506,64,3,2,2,True,0.0033993201359728054,0.012483217642185851,True,fdr_bh,marker,19,-1.316885033108109,4.735817412308563,1.5370703678621558,confidence,1.959963984540054,5000,2026-08-14T00:58:54.044515
sleep,sleep/PE_beta,26,1506,64,2,2,2,True,0.004599080183963208,0.012483217642185851,True,fdr_bh,marker,19,-1.1354579336584951,5.735876204737353,1.4625790221080108,confidence,1.959963984540054,5000,2026-08-14T01:03:31.684816
sleep,sleep/PE_gamma,26,1506,64,3,2,2,True,0.004399120175964807,0.012483217642185851,True,fdr_bh,marker,19,-1.0440727702099986,5.642144608279889,1.5647207424091012,confidence,1.959963984540054,5000,2026-08-14T01:04:12.958436
sleep,sleep/psd_relative_delta,26,1506,64,2,2,2,True,0.001799640071985603,0.01139772045590882,True,fdr_bh,marker,19,-4.5658677109437695,1.6942987111188874,1.598875262422623,confidence,1.959963984540054,5000,2026-08-14T01:17:52.896163
sleep,sleep/psd_relative_gamma,26,1506,64,3,2,2,True,0.001799640071985603,0.01139772045590882,True,fdr_bh,marker,19,-0.8795936815524834,5.016560057022615,1.808993293897249,confidence,1.959963984540054,5000,2026-08-14T01:16:15.741632
sleep,sleep/PE_theta,26,1506,64,2,1,1,True,0.016796640671865627,0.039892021595680865,True,fdr_bh,marker,19,-2.0918186638114524,3.179247946116443,1.0898930247841507,confidence,1.959963984540054,5000,2026-08-14T01:06:10.665045
