Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,inclusion,113,76.23008849557522,19.000474077524228,1.787414247390862
Controls,exclusion,144,73.84722222222223,18.696441247117466,1.5580367705931222
Risk of Depression,inclusion,106,58.9622641509434,26.742484312526955,2.5974596937068353
Risk of Depression,exclusion,106,73.54716981132076,22.86529167411424,2.220873454174242
