cluster_id,n_channels,channels,statistic,p_value,significant,marker_name,marker_type,correction_method,correction_alpha,analysis_timestamp,p_value_uncorrected,p_value_corrected,significant_uncorrected,significant_corrected,marker_p_value_uncorrected,marker_p_value_corrected,marker_rejected,correction_unit
1,1,F7,3.0690959379867646,0.10497900419916016,False,sleep/slowwaves_Slope,sleep,fdr_bh,0.05,2026-08-14T00:37:00.742807,0.10497900419916016,0.10497900419916016,False,False,0.02439512097580484,0.09270145970805839,False,marker
2,4,"C2, C4, CP2, Cz",-10.65962016943556,0.09270145970805839,False,sleep/slowwaves_Slope,sleep,fdr_bh,0.05,2026-08-14T00:37:00.742807,0.02439512097580484,0.09270145970805839,True,False,0.02439512097580484,0.09270145970805839,False,marker
3,1,O2,-2.291045852839235,0.41771645670865826,False,sleep/slowwaves_Slope,sleep,fdr_bh,0.05,2026-08-14T00:37:00.742807,0.41771645670865826,0.41771645670865826,False,False,0.02439512097580484,0.09270145970805839,False,marker
4,1,PO3,-2.6549200987239296,0.24155168966206758,False,sleep/slowwaves_Slope,sleep,fdr_bh,0.05,2026-08-14T00:37:00.742807,0.24155168966206758,0.24155168966206758,False,False,0.02439512097580484,0.09270145970805839,False,marker
