feature_name,mean_importance,std_importance,rank
slowwaves_Frequency_mean_posterior_left_trimmean,0.005280847779999455,,92
wsmi_gamma_mean_frontal_mid_trimmean,0.005270693618497088,,93
slowwaves_PTP_mean_posterior_left_trimmean,0.005268280085801791,,94
PE_alpha_mean_central_left_trimmean,0.005198866375161192,,95
wsmi_theta_mean_central_right_trimmean,0.005191334761076528,,96
slowwaves_Frequency_mean_central_mid_trimmean,0.005169942816141421,,97
psd_relative_theta_mean_frontal_left_trimmean,0.0051367813842915725,,98
psd_relative_gamma_mean_central_right_trimmean,0.005115694686662731,,99
slowwaves_Slope_mean_central_left_trimmean,0.0050963440762194145,,100
slowwaves_Density_mean_frontal_left_trimmean,0.005093000527575864,,101
wsmi_beta_mean_posterior_left_trimmean,0.005091046977259556,,102
PE_gamma_mean_posterior_right_trimmean,0.00508831611908033,,103
PE_theta_mean_posterior_right_trimmean,0.005056142796996326,,104
wsmi_gamma_mean_central_left_trimmean,0.005042156762664038,,105
P3b_mean_centroparietal_midline_trimmean,0.005036795895758455,,106
PE_beta_mean_posterior_right_trimmean,0.005036233374605778,,107
psd_relative_theta_mean_central_left_trimmean,0.0049747714744619335,,108
slowwaves_Frequency_mean_posterior_right_trimmean,0.004967269978693551,,109
kolmogorov_complexity_mean_posterior_right_trimmean,0.004965403465877118,,110
wsmi_alpha_mean_frontal_mid_trimmean,0.004950363208800789,,111
slowwaves_Duration_mean_posterior_right_trimmean,0.004950050879439716,,112
kolmogorov_complexity_mean_frontal_mid_trimmean,0.0049430827952253046,,113
slowwaves_PTP_mean_posterior_right_trimmean,0.0049136605946806505,,114
PE_gamma_mean_posterior_left_trimmean,0.00491359583022453,,115
wsmi_alpha_mean_posterior_left_trimmean,0.004910379938915476,,116
psd_relative_alpha_mean_posterior_mid_trimmean,0.004895637018055247,,117
psd_relative_theta_mean_central_mid_trimmean,0.004890648817769922,,118
slowwaves_Frequency_mean_frontal_left_trimmean,0.004888128296858389,,119
slowwaves_Slope_mean_posterior_mid_trimmean,0.0048529360863610715,,120
PE_theta_mean_frontal_left_trimmean,0.004850310566008382,,121
psd_relative_delta_mean_frontal_left_trimmean,0.0048445768053794035,,122
wsmi_beta_mean_central_left_trimmean,0.004797491504124478,,123
psd_relative_theta_mean_frontal_mid_trimmean,0.004784295423597945,,124
psd_relative_beta_mean_posterior_left_trimmean,0.004783248796164831,,125
slowwaves_PTP_mean_posterior_mid_trimmean,0.004771113165592495,,126
slowwaves_Density_mean_posterior_right_trimmean,0.0047673920665330955,,127
wsmi_beta_mean_frontal_right_trimmean,0.004767159060595601,,128
slowwaves_Density_mean_frontal_right_trimmean,0.004760450490778291,,129
PE_gamma_mean_central_mid_trimmean,0.004759091707417907,,130
kolmogorov_complexity_mean_frontal_right_trimmean,0.004754777429783268,,131
slowwaves_Duration_mean_posterior_left_trimmean,0.004748594957744502,,132
PE_beta_mean_central_mid_trimmean,0.00473289372898559,,133
slowwaves_Density_mean_frontal_mid_trimmean,0.0047311544216041895,,134
PE_beta_mean_central_left_trimmean,0.004707539085861576,,135
wsmi_beta_mean_central_mid_trimmean,0.0047063653067499454,,136
psd_relative_gamma_mean_posterior_right_trimmean,0.004693694746891237,,137
wsmi_beta_mean_frontal_mid_trimmean,0.004671021342479562,,138
PE_alpha_mean_posterior_left_trimmean,0.00467048036934093,,139
psd_relative_beta_mean_frontal_mid_trimmean,0.004666074667668352,,140
psd_relative_delta_mean_posterior_left_trimmean,0.00466433908726221,,141
slowwaves_PTP_mean_frontal_left_trimmean,0.004656179116530112,,142
wsmi_theta_mean_posterior_left_trimmean,0.004638530916538425,,143
slowwaves_PTP_mean_frontal_right_trimmean,0.004637773008506898,,144
wsmi_alpha_mean_frontal_right_trimmean,0.004633875108606152,,145
psd_relative_gamma_mean_frontal_left_trimmean,0.004606682600933871,,146
PE_beta_mean_frontal_right_trimmean,0.0045863298591226715,,147
psd_relative_gamma_mean_frontal_right_trimmean,0.004569686274362948,,148
slowwaves_Density_mean_central_left_trimmean,0.004562087693942686,,149
slowwaves_Density_mean_central_right_trimmean,0.004553885799377996,,150
wsmi_theta_mean_frontal_left_trimmean,0.004548980384274759,,151
PE_gamma_mean_central_right_trimmean,0.00451661107262325,,152
slowwaves_Frequency_mean_posterior_mid_trimmean,0.004503616552249181,,153
PE_alpha_mean_frontal_mid_trimmean,0.00448914703054273,,154
psd_relative_delta_mean_central_right_trimmean,0.004433767481766855,,155
wsmi_alpha_mean_frontal_left_trimmean,0.00443311714699351,,156
psd_relative_delta_mean_posterior_mid_trimmean,0.004431690720559337,,157
PE_theta_mean_frontal_right_trimmean,0.004425106601454638,,158
psd_relative_alpha_mean_central_mid_trimmean,0.004387250973443408,,159
